year,male,female,total
2019,135265,147827,283092
2020,135458,148259,283717
2021,135614,148650,284264
2022,135726,148994,284720
2023,135779,149286,285065
2024,135793,149523,285316
2025,135815,149772,285587
2026,135790,149976,285766
2027,135719,150113,285832
2028,135588,150190,285778
2029,135396,150198,285594
2030,135137,150130,285267
2031,134808,149991,284799
2032,134414,149779,284193
2033,133957,149490,283447
2034,133436,149130,282566
2035,132975,148837,281812
2036,132440,148464,280904
2037,131844,148011,279855
2038,131185,147486,278671
2039,130470,146881,277351
2040,129696,146199,275895
2041,128875,145446,274321
2042,128001,144612,272613
2043,127084,143707,270791
2044,126121,142733,268854
2045,125230,141848,267078
2046,124295,140883,265178
2047,123307,139832,263139
2048,122272,138693,260965
2049,121184,137472,258656
2050,120057,136189,256246
2051,118884,134820,253704
2052,117668,133395,251063
2053,116422,131910,248332
2054,115145,130370,245515
2055,113938,128925,242863
2056,112697,127424,240121
2057,111432,125883,237315
2058,110136,124291,234427
2059,108813,122652,231465
2060,107472,120972,228444
2061,106110,119267,225377
2062,104729,117534,222263
2063,103341,115780,219121
2064,101935,114001,215936
2065,100589,112327,212916
