year,male,female,total
2019,12614,11704,24318
2020,12554,11682,24236
2021,12490,11668,24158
2022,12423,11650,24073
2023,12356,11631,23987
2024,12286,11606,23892
2025,12220,11589,23809
2026,12155,11565,23720
2027,12088,11536,23624
2028,12018,11504,23522
2029,11944,11470,23414
2030,11866,11428,23294
2031,11788,11384,23172
2032,11707,11331,23038
2033,11621,11274,22895
2034,11526,11212,22738
2035,11442,11160,22602
2036,11350,11106,22456
2037,11258,11043,22301
2038,11153,10974,22127
2039,11044,10897,21941
2040,10934,10816,21750
2041,10818,10729,21547
2042,10697,10640,21337
2043,10572,10544,21116
2044,10445,10446,20891
2045,10325,10358,20683
2046,10198,10262,20460
2047,10070,10164,20234
2048,9940,10062,20002
2049,9807,9961,19768
2050,9677,9856,19533
2051,9544,9749,19293
2052,9410,9639,19049
2053,9276,9531,18807
2054,9142,9420,18562
2055,9018,9318,18336
2056,8895,9214,18109
2057,8772,9109,17881
2058,8647,9001,17648
2059,8521,8888,17409
2060,8395,8776,17171
2061,8266,8661,16927
2062,8139,8544,16683
2063,8012,8427,16439
2064,7886,8306,16192
2065,7768,8196,15964
