year,male,female,total
2019,25551,24286,49837
2020,25438,24250,49688
2021,25321,24205,49526
2022,25195,24155,49350
2023,25061,24095,49156
2024,24928,24028,48956
2025,24803,23972,48775
2026,24668,23905,48573
2027,24525,23830,48355
2028,24372,23746,48118
2029,24212,23657,47869
2030,24045,23553,47598
2031,23866,23441,47307
2032,23675,23315,46990
2033,23473,23179,46652
2034,23262,23032,46294
2035,23075,22902,45977
2036,22869,22763,45632
2037,22653,22610,45263
2038,22426,22448,44874
2039,22188,22272,44460
2040,21942,22086,44028
2041,21693,21889,43582
2042,21434,21682,43116
2043,21171,21461,42632
2044,20899,21234,42133
2045,20645,21027,41672
2046,20391,20817,41208
2047,20129,20595,40724
2048,19863,20365,40228
2049,19597,20129,39726
2050,19326,19890,39216
2051,19052,19639,38691
2052,18782,19393,38175
2053,18514,19141,37655
2054,18245,18892,37137
2055,17997,18663,36660
2056,17749,18432,36181
2057,17497,18198,35695
2058,17247,17959,35206
2059,16995,17723,34718
2060,16744,17491,34235
2061,16492,17253,33745
2062,16238,17017,33255
2063,15987,16775,32762
2064,15741,16539,32280
2065,15498,16314,31812
