year,male,female,total
2019,37704,38305,76009
2020,37661,38362,76023
2021,37613,38405,76018
2022,37557,38439,75996
2023,37483,38451,75934
2024,37391,38448,75839
2025,37314,38458,75772
2026,37223,38447,75670
2027,37120,38419,75539
2028,37001,38373,75374
2029,36856,38308,75164
2030,36698,38220,74918
2031,36523,38113,74636
2032,36327,37982,74309
2033,36109,37831,73940
2034,35870,37660,73530
2035,35654,37508,73162
2036,35414,37336,72750
2037,35154,37140,72294
2038,34880,36925,71805
2039,34591,36689,71280
2040,34280,36431,70711
2041,33964,36156,70120
2042,33641,35868,69509
2043,33304,35566,68870
2044,32954,35253,68207
2045,32631,34965,67596
2046,32298,34662,66960
2047,31956,34338,66294
2048,31609,33997,65606
2049,31254,33642,64896
2050,30891,33273,64164
2051,30523,32888,63411
2052,30149,32496,62645
2053,29766,32098,61864
2054,29379,31691,61070
2055,29016,31316,60332
2056,28650,30931,59581
2057,28282,30539,58821
2058,27904,30138,58042
2059,27523,29729,57252
2060,27134,29309,56443
2061,26744,28887,55631
2062,26350,28459,54809
2063,25948,28023,53971
2064,25546,27582,53128
2065,25159,27169,52328
