year,male,female,total
2019,53996,55353,109349
2020,54067,55532,109599
2021,54130,55698,109828
2022,54177,55849,110026
2023,54210,55979,110189
2024,54228,56094,110322
2025,54251,56216,110467
2026,54262,56321,110583
2027,54251,56406,110657
2028,54212,56462,110674
2029,54147,56494,110641
2030,54053,56498,110551
2031,53935,56475,110410
2032,53783,56422,110205
2033,53605,56341,109946
2034,53397,56228,109625
2035,53208,56137,109345
2036,52989,56014,109003
2037,52742,55857,108599
2038,52470,55674,108144
2039,52171,55458,107629
2040,51847,55208,107055
2041,51496,54932,106428
2042,51127,54627,105754
2043,50737,54293,105030
2044,50322,53928,104250
2045,49944,53599,103543
2046,49547,53241,102788
2047,49127,52848,101975
2048,48686,52429,101115
2049,48226,51979,100205
2050,47751,51500,99251
2051,47260,50987,98247
2052,46757,50456,97213
2053,46245,49906,96151
2054,45715,49337,95052
2055,45220,48806,94026
2056,44714,48252,92966
2057,44195,47683,91878
2058,43661,47100,90761
2059,43119,46497,89616
2060,42569,45883,88452
2061,42011,45248,87259
2062,41448,44611,86059
2063,40879,43973,84852
2064,40304,43324,83628
2065,39754,42712,82466
