year,male,female,total
2019,7665,7137,14802
2020,7642,7126,14768
2021,7616,7121,14737
2022,7588,7116,14704
2023,7561,7110,14671
2024,7525,7107,14632
2025,7492,7107,14599
2026,7457,7098,14555
2027,7420,7086,14506
2028,7381,7073,14454
2029,7339,7052,14391
2030,7294,7031,14325
2031,7243,7008,14251
2032,7189,6982,14171
2033,7132,6954,14086
2034,7069,6923,13992
2035,7014,6897,13911
2036,6956,6864,13820
2037,6892,6828,13720
2038,6826,6790,13616
2039,6756,6748,13504
2040,6680,6702,13382
2041,6601,6648,13249
2042,6520,6593,13113
2043,6435,6533,12968
2044,6350,6469,12819
2045,6271,6409,12680
2046,6189,6348,12537
2047,6104,6282,12386
2048,6020,6217,12237
2049,5934,6145,12079
2050,5847,6073,11920
2051,5757,6000,11757
2052,5671,5926,11597
2053,5587,5856,11443
2054,5505,5783,11288
2055,5427,5716,11143
2056,5352,5651,11003
2057,5278,5584,10862
2058,5202,5518,10720
2059,5130,5448,10578
2060,5059,5379,10438
2061,4987,5307,10294
2062,4916,5236,10152
2063,4845,5163,10008
2064,4772,5090,9862
2065,4702,5023,9725
