year,male,female,total
2019,54632,60646,115278
2020,54557,60667,115224
2021,54474,60687,115161
2022,54377,60690,115067
2023,54261,60666,114927
2024,54130,60621,114751
2025,54010,60588,114598
2026,53871,60537,114408
2027,53717,60465,114182
2028,53547,60366,113913
2029,53357,60244,113601
2030,53136,60089,113225
2031,52894,59910,112804
2032,52638,59707,112345
2033,52363,59483,111846
2034,52061,59224,111285
2035,51798,59008,110806
2036,51511,58768,110279
2037,51200,58494,109694
2038,50874,58197,109071
2039,50526,57874,108400
2040,50159,57521,107680
2041,49776,57135,106911
2042,49372,56723,106095
2043,48954,56274,105228
2044,48519,55802,104321
2045,48116,55373,103489
2046,47694,54916,102610
2047,47251,54412,101663
2048,46789,53881,100670
2049,46309,53310,99619
2050,45818,52715,98533
2051,45311,52092,97403
2052,44791,51451,96242
2053,44264,50797,95061
2054,43729,50131,93860
2055,43229,49506,92735
2056,42725,48873,91598
2057,42220,48223,90443
2058,41704,47560,89264
2059,41190,46878,88068
2060,40680,46199,86879
2061,40163,45512,85675
2062,39639,44820,84459
2063,39114,44122,83236
2064,38589,43427,82016
2065,38089,42775,80864
