year,male,female,total
2019,110290,119928,230218
2020,110447,120293,230740
2021,110578,120621,231199
2022,110684,120917,231601
2023,110746,121170,231916
2024,110781,121387,232168
2025,110832,121614,232446
2026,110851,121810,232661
2027,110840,121967,232807
2028,110786,122080,232866
2029,110690,122146,232836
2030,110545,122160,232705
2031,110350,122126,232476
2032,110106,122032,232138
2033,109812,121889,231701
2034,109462,121690,231152
2035,109169,121542,230711
2036,108816,121330,230146
2037,108407,121058,229465
2038,107956,120732,228688
2039,107456,120339,227795
2040,106899,119883,226782
2041,106298,119364,225662
2042,105649,118788,224437
2043,104956,118150,223106
2044,104222,117443,221665
2045,103535,116797,220332
2046,102801,116077,218878
2047,102018,115279,217297
2048,101185,114405,215590
2049,100306,113458,213764
2050,99391,112441,211832
2051,98429,111359,209788
2052,97433,110211,207644
2053,96408,109013,205421
2054,95352,107765,203117
2055,94352,106589,200941
2056,93331,105362,198693
2057,92288,104098,196386
2058,91227,102790,194017
2059,90155,101434,191589
2060,89067,100051,189118
2061,87970,98646,186616
2062,86860,97210,184070
2063,85743,95750,181493
2064,84614,94284,178898
2065,83535,92893,176428
