year,male,female,total
2019,82272,84605,166877
2020,82268,84754,167022
2021,82229,84884,167113
2022,82164,84984,167148
2023,82074,85056,167130
2024,81949,85101,167050
2025,81846,85156,167002
2026,81722,85186,166908
2027,81564,85183,166747
2028,81379,85150,166529
2029,81156,85082,166238
2030,80898,84971,165869
2031,80611,84827,165438
2032,80288,84642,164930
2033,79928,84419,164347
2034,79533,84156,163689
2035,79180,83941,163121
2036,78784,83688,162472
2037,78357,83383,161740
2038,77903,83041,160944
2039,77417,82659,160076
2040,76898,82237,159135
2041,76350,81774,158124
2042,75775,81274,157049
2043,75175,80735,155910
2044,74545,80154,154699
2045,73962,79628,153590
2046,73350,79060,152410
2047,72715,78439,151154
2048,72050,77782,149832
2049,71356,77075,148431
2050,70650,76343,146993
2051,69924,75567,145491
2052,69178,74763,143941
2053,68416,73942,142358
2054,67639,73098,140737
2055,66907,72319,139226
2056,66163,71517,137680
2057,65407,70703,136110
2058,64640,69870,134510
2059,63865,69018,132883
2060,63075,68158,131233
2061,62281,67277,129558
2062,61470,66387,127857
2063,60653,65486,126139
2064,59834,64578,124412
2065,59046,63720,122766
