year,male,female,total
2019,39236,38699,77935
2020,39295,38829,78124
2021,39346,38952,78298
2022,39384,39064,78448
2023,39410,39166,78576
2024,39419,39255,78674
2025,39437,39346,78783
2026,39443,39428,78871
2027,39436,39495,78931
2028,39406,39550,78956
2029,39358,39590,78948
2030,39296,39606,78902
2031,39211,39607,78818
2032,39108,39591,78699
2033,38982,39546,78528
2034,38838,39489,78327
2035,38705,39445,78150
2036,38551,39378,77929
2037,38379,39290,77669
2038,38185,39185,77370
2039,37973,39061,77034
2040,37745,38921,76666
2041,37501,38761,76262
2042,37242,38589,75831
2043,36968,38396,75364
2044,36680,38186,74866
2045,36415,38000,74415
2046,36134,37795,73929
2047,35834,37569,73403
2048,35526,37326,72852
2049,35205,37065,72270
2050,34872,36784,71656
2051,34519,36485,71004
2052,34158,36172,70330
2053,33786,35841,69627
2054,33408,35497,68905
2055,33052,35184,68236
2056,32686,34845,67531
2057,32311,34497,66808
2058,31927,34136,66063
2059,31536,33757,65293
2060,31136,33372,64508
2061,30730,32976,63706
2062,30319,32567,62886
2063,29903,32148,62051
2064,29485,31720,61205
2065,29084,31312,60396
