year,male,female,total
2019,104793,115481,220274
2020,104378,115359,219737
2021,103955,115220,219175
2022,103508,115026,218534
2023,103018,114775,217793
2024,102498,114456,216954
2025,101997,114164,216161
2026,101458,113812,215270
2027,100889,113402,214291
2028,100265,112932,213197
2029,99598,112396,211994
2030,98890,111796,210686
2031,98137,111140,209277
2032,97342,110424,207766
2033,96506,109644,206150
2034,95632,108810,204442
2035,94832,108065,202897
2036,93994,107269,201263
2037,93118,106415,199533
2038,92209,105504,197713
2039,91271,104551,195822
2040,90308,103548,193856
2041,89331,102507,191838
2042,88340,101427,189767
2043,87333,100322,187655
2044,86318,99186,185504
2045,85391,98163,183554
2046,84454,97099,181553
2047,83496,95991,179487
2048,82530,94843,177373
2049,81550,93657,175207
2050,80559,92438,172997
2051,79546,91190,170736
2052,78521,89920,168441
2053,77487,88640,166127
2054,76438,87351,163789
2055,75456,86146,161602
2056,74451,84919,159370
2057,73435,83676,157111
2058,72406,82406,154812
2059,71361,81115,152476
2060,70304,79817,150121
2061,69241,78509,147750
2062,68165,77189,145354
2063,67088,75849,142937
2064,66006,74503,140509
2065,64969,73235,138204
