year,male,female,total
2019,58818,61572,120390
2020,58739,61628,120367
2021,58653,61664,120317
2022,58535,61661,120196
2023,58399,61632,120031
2024,58231,61569,119800
2025,58068,61517,119585
2026,57877,61433,119310
2027,57663,61321,118984
2028,57420,61179,118599
2029,57154,61005,118159
2030,56862,60802,117664
2031,56538,60566,117104
2032,56187,60297,116484
2033,55812,59996,115808
2034,55410,59670,115080
2035,55041,59383,114424
2036,54644,59070,113714
2037,54223,58724,112947
2038,53786,58350,112136
2039,53332,57956,111288
2040,52862,57530,110392
2041,52373,57088,109461
2042,51874,56624,108498
2043,51364,56146,107510
2044,50847,55648,106495
2045,50373,55201,105574
2046,49892,54732,104624
2047,49390,54239,103629
2048,48872,53714,102586
2049,48341,53170,101511
2050,47798,52603,100401
2051,47244,52012,99256
2052,46677,51402,98079
2053,46095,50778,96873
2054,45499,50147,95646
2055,44936,49548,94484
2056,44353,48920,93273
2057,43756,48281,92037
2058,43144,47623,90767
2059,42525,46938,89463
2060,41897,46240,88137
2061,41260,45533,86793
2062,40615,44814,85429
2063,39967,44084,84051
2064,39313,43342,82655
2065,38684,42638,81322
