year,male,female,total
2019,143140,164421,307561
2020,142339,163919,306258
2021,141553,163409,304962
2022,140728,162853,303581
2023,139868,162243,302111
2024,138970,161571,300541
2025,138146,160960,299106
2026,137280,160294,297574
2027,136389,159580,295969
2028,135470,158813,294283
2029,134518,157989,292507
2030,133536,157114,290650
2031,132526,156184,288710
2032,131498,155199,286697
2033,130445,154179,284624
2034,129377,153099,282476
2035,128440,152180,280620
2036,127476,151200,278676
2037,126491,150168,276659
2038,125491,149087,274578
2039,124468,147946,272414
2040,123426,146750,270176
2041,122360,145501,267861
2042,121275,144192,265467
2043,120169,142830,262999
2044,119044,141418,260462
2045,118020,140144,258164
2046,116951,138794,255745
2047,115841,137346,253187
2048,114693,135834,250527
2049,113505,134243,247748
2050,112291,132614,244905
2051,111040,130925,241965
2052,109754,129201,238955
2053,108451,127450,235901
2054,107130,125669,232799
2055,105887,124020,229907
2056,104621,122322,226943
2057,103336,120595,223931
2058,102045,118849,220894
2059,100749,117074,217823
2060,99446,115288,214734
2061,98147,113485,211632
2062,96853,111671,208524
2063,95560,109841,205401
2064,94271,108015,202286
2065,93056,106299,199355
