year,male,female,total
2019,11583,10768,22351
2020,11507,10709,22216
2021,11433,10650,22083
2022,11354,10587,21941
2023,11274,10530,21804
2024,11193,10469,21662
2025,11116,10417,21533
2026,11036,10360,21396
2027,10958,10298,21256
2028,10875,10237,21112
2029,10786,10174,20960
2030,10695,10111,20806
2031,10602,10043,20645
2032,10499,9974,20473
2033,10393,9903,20296
2034,10281,9827,20108
2035,10183,9764,19947
2036,10076,9700,19776
2037,9966,9634,19600
2038,9850,9559,19409
2039,9729,9482,19211
2040,9608,9400,19008
2041,9475,9317,18792
2042,9337,9232,18569
2043,9197,9141,18338
2044,9054,9046,18100
2045,8917,8962,17879
2046,8775,8871,17646
2047,8632,8772,17404
2048,8483,8670,17153
2049,8334,8562,16896
2050,8183,8454,16637
2051,8034,8341,16375
2052,7884,8225,16109
2053,7732,8105,15837
2054,7584,7987,15571
2055,7445,7876,15321
2056,7307,7761,15068
2057,7171,7648,14819
2058,7036,7532,14568
2059,6902,7415,14317
2060,6771,7294,14065
2061,6643,7180,13823
2062,6516,7060,13576
2063,6393,6940,13333
2064,6270,6819,13089
2065,6159,6705,12864
