year,male,female,total
2019,12234,11466,23700
2020,12162,11425,23587
2021,12083,11382,23465
2022,12001,11329,23330
2023,11919,11278,23197
2024,11834,11228,23062
2025,11750,11177,22927
2026,11668,11124,22792
2027,11584,11068,22652
2028,11490,11007,22497
2029,11392,10943,22335
2030,11288,10872,22160
2031,11180,10800,21980
2032,11074,10723,21797
2033,10960,10640,21600
2034,10842,10554,21396
2035,10733,10482,21215
2036,10620,10406,21026
2037,10501,10324,20825
2038,10376,10233,20609
2039,10247,10139,20386
2040,10112,10039,20151
2041,9975,9945,19920
2042,9839,9841,19680
2043,9700,9737,19437
2044,9558,9630,19188
2045,9426,9537,18963
2046,9293,9437,18730
2047,9156,9333,18489
2048,9015,9226,18241
2049,8878,9112,17990
2050,8741,8996,17737
2051,8605,8879,17484
2052,8471,8757,17228
2053,8329,8634,16963
2054,8190,8509,16699
2055,8061,8394,16455
2056,7933,8279,16212
2057,7805,8166,15971
2058,7680,8049,15729
2059,7556,7931,15487
2060,7435,7810,15245
2061,7313,7693,15006
2062,7191,7577,14768
2063,7072,7459,14531
2064,6952,7342,14294
2065,6841,7232,14073
