year,male,female,total
2019,38365,37665,76030
2020,38349,37733,76082
2021,38316,37786,76102
2022,38260,37823,76083
2023,38190,37847,76037
2024,38098,37852,75950
2025,38014,37864,75878
2026,37917,37860,75777
2027,37797,37838,75635
2028,37654,37793,75447
2029,37493,37727,75220
2030,37310,37638,74948
2031,37113,37533,74646
2032,36887,37407,74294
2033,36640,37259,73899
2034,36381,37087,73468
2035,36137,36936,73073
2036,35872,36764,72636
2037,35595,36575,72170
2038,35303,36362,71665
2039,34988,36128,71116
2040,34661,35879,70540
2041,34326,35613,69939
2042,33981,35331,69312
2043,33621,35029,68650
2044,33249,34711,67960
2045,32908,34419,67327
2046,32556,34117,66673
2047,32189,33793,65982
2048,31816,33451,65267
2049,31436,33094,64530
2050,31050,32721,63771
2051,30654,32336,62990
2052,30253,31940,62193
2053,29847,31536,61383
2054,29432,31125,60557
2055,29039,30734,59773
2056,28644,30341,58985
2057,28239,29940,58179
2058,27827,29535,57362
2059,27410,29115,56525
2060,26985,28693,55678
2061,26561,28260,54821
2062,26129,27823,53952
2063,25695,27379,53074
2064,25260,26937,52197
2065,24836,26522,51358
