year,male,female,total
2019,11334,10583,21917
2020,11290,10572,21862
2021,11241,10555,21796
2022,11189,10537,21726
2023,11138,10515,21653
2024,11084,10490,21574
2025,11033,10469,21502
2026,10973,10443,21416
2027,10913,10411,21324
2028,10847,10381,21228
2029,10781,10345,21126
2030,10708,10307,21015
2031,10627,10258,20885
2032,10544,10209,20753
2033,10459,10157,20616
2034,10368,10102,20470
2035,10285,10052,20337
2036,10192,9994,20186
2037,10093,9930,20023
2038,9990,9865,19855
2039,9878,9794,19672
2040,9764,9718,19482
2041,9643,9635,19278
2042,9518,9547,19065
2043,9396,9454,18850
2044,9270,9363,18633
2045,9154,9280,18434
2046,9036,9194,18230
2047,8913,9102,18015
2048,8789,9006,17795
2049,8664,8904,17568
2050,8544,8804,17348
2051,8420,8703,17123
2052,8295,8593,16888
2053,8166,8485,16651
2054,8037,8376,16413
2055,7919,8270,16189
2056,7799,8167,15966
2057,7680,8065,15745
2058,7564,7962,15526
2059,7448,7857,15305
2060,7334,7751,15085
2061,7223,7646,14869
2062,7112,7540,14652
2063,7001,7439,14440
2064,6894,7334,14228
2065,6788,7235,14023
