year,male,female,total
2019,5461,5398,10859
2020,5442,5392,10834
2021,5425,5385,10810
2022,5406,5372,10778
2023,5385,5356,10741
2024,5361,5338,10699
2025,5340,5324,10664
2026,5315,5306,10621
2027,5289,5285,10574
2028,5254,5259,10513
2029,5212,5228,10440
2030,5168,5195,10363
2031,5121,5162,10283
2032,5071,5124,10195
2033,5019,5089,10108
2034,4964,5048,10012
2035,4917,5014,9931
2036,4867,4974,9841
2037,4810,4935,9745
2038,4752,4892,9644
2039,4690,4850,9540
2040,4627,4804,9431
2041,4556,4749,9305
2042,4484,4694,9178
2043,4412,4638,9050
2044,4338,4581,8919
2045,4267,4528,8795
2046,4194,4473,8667
2047,4121,4412,8533
2048,4052,4350,8402
2049,3979,4286,8265
2050,3904,4224,8128
2051,3825,4161,7986
2052,3750,4095,7845
2053,3676,4026,7702
2054,3604,3961,7565
2055,3538,3900,7438
2056,3473,3842,7315
2057,3411,3780,7191
2058,3348,3714,7062
2059,3284,3647,6931
2060,3217,3581,6798
2061,3153,3517,6670
2062,3089,3449,6538
2063,3026,3379,6405
2064,2963,3309,6272
2065,2903,3239,6142
