year,male,female,total
2019,4633,3966,8599
2020,4604,3954,8558
2021,4577,3938,8515
2022,4548,3924,8472
2023,4517,3907,8424
2024,4480,3891,8371
2025,4447,3877,8324
2026,4408,3860,8268
2027,4369,3843,8212
2028,4326,3820,8146
2029,4281,3796,8077
2030,4236,3770,8006
2031,4189,3743,7932
2032,4140,3716,7856
2033,4090,3686,7776
2034,4035,3654,7689
2035,3988,3626,7614
2036,3937,3596,7533
2037,3886,3568,7454
2038,3833,3539,7372
2039,3779,3508,7287
2040,3722,3475,7197
2041,3667,3441,7108
2042,3611,3403,7014
2043,3553,3365,6918
2044,3495,3329,6824
2045,3441,3298,6739
2046,3388,3266,6654
2047,3335,3229,6564
2048,3285,3191,6476
2049,3236,3151,6387
2050,3184,3109,6293
2051,3131,3067,6198
2052,3078,3024,6102
2053,3023,2980,6003
2054,2966,2936,5902
2055,2916,2894,5810
2056,2863,2850,5713
2057,2812,2809,5621
2058,2758,2768,5526
2059,2708,2729,5437
2060,2657,2685,5342
2061,2607,2643,5250
2062,2557,2601,5158
2063,2508,2559,5067
2064,2460,2517,4977
2065,2414,2474,4888
