year,male,female,total
2019,61552,63192,124744
2020,61461,63243,124704
2021,61351,63271,124622
2022,61215,63268,124483
2023,61049,63231,124280
2024,60848,63159,124007
2025,60658,63099,123757
2026,60440,63009,123449
2027,60190,62884,123074
2028,59903,62727,122630
2029,59586,62536,122122
2030,59231,62300,121531
2031,58841,62031,120872
2032,58412,61723,120135
2033,57955,61373,119328
2034,57470,60986,118456
2035,57015,60639,117654
2036,56524,60249,116773
2037,56003,59826,115829
2038,55456,59368,114824
2039,54887,58875,113762
2040,54290,58344,112634
2041,53672,57780,111452
2042,53038,57195,110233
2043,52390,56581,108971
2044,51728,55947,107675
2045,51114,55370,106484
2046,50489,54766,105255
2047,49850,54132,103982
2048,49198,53471,102669
2049,48536,52787,101323
2050,47873,52096,99969
2051,47200,51382,98582
2052,46527,50659,97186
2053,45852,49938,95790
2054,45177,49208,94385
2055,44543,48536,93079
2056,43899,47850,91749
2057,43254,47157,90411
2058,42600,46455,89055
2059,41947,45747,87694
2060,41285,45035,86320
2061,40618,44320,84938
2062,39945,43598,83543
2063,39269,42876,82145
2064,38589,42158,80747
2065,37937,41477,79414
