year,age_range,male,female,total
2019,0-4,4767,4387,9154
2019,5-9,4904,4620,9524
2019,10-14,4453,4187,8640
2019,15-19,5373,4831,10204
2019,20-24,6389,5974,12363
2019,25-29,7247,6630,13877
2019,30-34,7712,7451,15163
2019,35-39,9731,9475,19206
2019,40-44,9238,8730,17968
2019,45-49,7045,6882,13927
2019,50-54,6975,7107,14082
2019,55-59,7181,7577,14758
2019,60-64,6522,6733,13255
2019,65-69,4778,4872,9650
2019,70-74,2355,2410,4765
2019,75-79,1577,1833,3410
2019,80-84,893,1463,2356
2019,85-89,440,827,1267
2019,90-94,146,290,436
2019,95-99,26,65,91
2019,100+,3,12,15
2020,0-4,4522,4177,8699
2020,5-9,5202,4900,10102
2020,10-14,4320,4123,8443
2020,15-19,5045,4468,9513
2020,20-24,6302,5838,12140
2020,25-29,7046,6537,13583
2020,30-34,7538,7150,14688
2020,35-39,9486,9310,18796
2020,40-44,9541,9109,18650
2020,45-49,7315,6973,14288
2020,50-54,6891,6944,13835
2020,55-59,7104,7559,14663
2020,60-64,6591,6906,13497
2020,65-69,5217,5406,10623
2020,70-74,2637,2761,5398
2020,75-79,1572,1761,3333
2020,80-84,961,1502,2463
2020,85-89,453,875,1328
2020,90-94,184,333,517
2020,95-99,29,72,101
2020,100+,0,0,0
2021,0-4,4403,4066,8469
2021,5-9,5256,4992,10248
2021,10-14,4345,4118,8463
2021,15-19,4875,4303,9178
2021,20-24,6045,5524,11569
2021,25-29,6952,6516,13468
2021,30-34,7465,7037,14502
2021,35-39,8948,8772,17720
2021,40-44,9716,9323,19039
2021,45-49,7734,7431,15165
2021,50-54,6852,6796,13648
2021,55-59,7007,7443,14450
2021,60-64,6574,7031,13605
2021,65-69,5425,5652,11077
2021,70-74,3284,3451,6735
2021,75-79,1538,1695,3233
2021,80-84,1031,1511,2542
2021,85-89,473,946,1419
2021,90-94,199,365,564
2021,95-99,29,81,110
2021,100+,0,0,0
2022,0-4,4316,3967,8283
2022,5-9,5061,4858,9919
2022,10-14,4706,4376,9082
2022,15-19,4669,4196,8865
2022,20-24,5719,5164,10883
2022,25-29,6880,6505,13385
2022,30-34,7422,6873,14295
2022,35-39,8388,8222,16610
2022,40-44,9877,9581,19458
2022,45-49,8181,7766,15947
2022,50-54,6782,6855,13637
2022,55-59,6841,7237,14078
2022,60-64,6734,7247,13981
2022,65-69,5623,5861,11484
2022,70-74,3731,3927,7658
2022,75-79,1563,1784,3347
2022,80-84,1079,1513,2592
2022,85-89,509,975,1484
2022,90-94,207,401,608
2022,95-99,43,88,131
2022,100+,0,0,0
2023,0-4,4298,3975,8273
2023,5-9,5009,4708,9717
2023,10-14,4763,4467,9230
2023,15-19,4526,4218,8744
2023,20-24,5567,4986,10553
2023,25-29,6622,6242,12864
2023,30-34,7301,6691,13992
2023,35-39,8006,7814,15820
2023,40-44,9838,9630,19468
2023,45-49,8625,8155,16780
2023,50-54,6823,6821,13644
2023,55-59,6695,7146,13841
2023,60-64,6883,7358,14241
2023,65-69,5805,6182,11987
2023,70-74,4046,4278,8324
2023,75-79,1714,1954,3668
2023,80-84,1135,1512,2647
2023,85-89,547,1027,1574
2023,90-94,211,433,644
2023,95-99,49,103,152
2023,100+,0,0,0
2024,0-4,4403,4094,8497
2024,5-9,4767,4387,9154
2024,10-14,4904,4620,9524
2024,15-19,4453,4187,8640
2024,20-24,5358,4831,10189
2024,25-29,6364,5974,12338
2024,30-34,7217,6615,13832
2024,35-39,7655,7426,15081
2024,40-44,9612,9433,19045
2024,45-49,9061,8674,17735
2024,50-54,6856,6813,13669
2024,55-59,6717,7005,13722
2024,60-64,6827,7420,14247
2024,65-69,6071,6513,12584
2024,70-74,4279,4603,8882
2024,75-79,1978,2187,4165
2024,80-84,1182,1533,2715
2024,85-89,570,1065,1635
2024,90-94,220,473,693
2024,95-99,52,108,160
2024,100+,0,0,0
2025,0-4,4396,4088,8484
2025,5-9,4522,4177,8699
2025,10-14,5202,4900,10102
2025,15-19,4320,4123,8443
2025,20-24,5034,4468,9502
2025,25-29,6277,5838,12115
2025,30-34,7018,6523,13541
2025,35-39,7483,7125,14608
2025,40-44,9370,9270,18640
2025,45-49,9361,9050,18411
2025,50-54,7120,6904,14024
2025,55-59,6639,6846,13485
2025,60-64,6758,7406,14164
2025,65-69,6143,6686,12829
2025,70-74,4676,5116,9792
2025,75-79,2219,2508,4727
2025,80-84,1182,1474,2656
2025,85-89,618,1098,1716
2025,90-94,230,507,737
2025,95-99,66,126,192
2025,100+,0,0,0
2026,0-4,4362,4058,8420
2026,5-9,4403,4066,8469
2026,10-14,5256,4992,10248
2026,15-19,4345,4118,8463
2026,20-24,4867,4303,9170
2026,25-29,6020,5524,11544
2026,30-34,6925,6503,13428
2026,35-39,7411,7012,14423
2026,40-44,8840,8735,17575
2026,45-49,9533,9264,18797
2026,50-54,7529,7360,14889
2026,55-59,6605,6702,13307
2026,60-64,6669,7295,13964
2026,65-69,6136,6815,12951
2026,70-74,4876,5357,10233
2026,75-79,2771,3141,5912
2026,80-84,1157,1422,2579
2026,85-89,665,1111,1776
2026,90-94,242,554,796
2026,95-99,69,140,209
2026,100+,0,0,0
2027,0-4,4298,3998,8296
2027,5-9,4316,3967,8283
2027,10-14,5061,4858,9919
2027,15-19,4706,4376,9082
2027,20-24,4665,4196,8861
2027,25-29,5694,5164,10858
2027,30-34,6853,6493,13346
2027,35-39,7371,6848,14219
2027,40-44,8286,8187,16473
2027,45-49,9692,9521,19213
2027,50-54,7968,7692,15660
2027,55-59,6540,6762,13302
2027,60-64,6516,7096,13612
2027,65-69,6291,7030,13321
2027,70-74,5059,5559,10618
2027,75-79,3148,3579,6727
2027,80-84,1181,1503,2684
2027,85-89,700,1112,1812
2027,90-94,262,573,835
2027,95-99,73,155,228
2027,100+,0,0,0
2028,0-4,4232,3939,8171
2028,5-9,4298,3975,8273
2028,10-14,5009,4708,9717
2028,15-19,4763,4467,9230
2028,20-24,4526,4218,8744
2028,25-29,5543,4986,10529
2028,30-34,6596,6231,12827
2028,35-39,7252,6666,13918
2028,40-44,7910,7782,15692
2028,45-49,9653,9570,19223
2028,50-54,8400,8078,16478
2028,55-59,6584,6730,13314
2028,60-64,6383,7010,13393
2028,65-69,6434,7143,13577
2028,70-74,5226,5868,11094
2028,75-79,3416,3901,7317
2028,80-84,1304,1657,2961
2028,85-89,740,1117,1857
2028,90-94,281,606,887
2028,95-99,75,170,245
2028,100+,0,0,0
2029,0-4,4167,3881,8048
2029,5-9,4403,4094,8497
2029,10-14,4767,4387,9154
2029,15-19,4904,4620,9524
2029,20-24,4453,4187,8640
2029,25-29,5339,4831,10170
2029,30-34,6338,5965,12303
2029,35-39,7169,6590,13759
2029,40-44,7565,7397,14962
2029,45-49,9431,9375,18806
2029,50-54,8826,8592,17418
2029,55-59,6619,6723,13342
2029,60-64,6409,6874,13283
2029,65-69,6388,7206,13594
2029,70-74,5472,6188,11660
2029,75-79,3615,4200,7815
2029,80-84,1518,1865,3383
2029,85-89,769,1139,1908
2029,90-94,294,631,925
2029,95-99,78,186,264
2029,100+,0,0,0
2030,0-4,4095,3817,7912
2030,5-9,4396,4088,8484
2030,10-14,4522,4177,8699
2030,15-19,5202,4900,10102
2030,20-24,4320,4123,8443
2030,25-29,5019,4468,9487
2030,30-34,6251,5831,12082
2030,35-39,6970,6498,13468
2030,40-44,7397,7097,14494
2030,45-49,9194,9213,18407
2030,50-54,9115,8966,18081
2030,55-59,6874,6814,13688
2030,60-64,6336,6716,13052
2030,65-69,6323,7192,13515
2030,70-74,5537,6354,11891
2030,75-79,3945,4665,8610
2030,80-84,1703,2136,3839
2030,85-89,769,1092,1861
2030,90-94,320,650,970
2030,95-99,83,202,285
2030,100+,0,0,0
2031,0-4,4017,3746,7763
2031,5-9,4362,4058,8420
2031,10-14,4403,4066,8469
2031,15-19,5256,4992,10248
2031,20-24,4345,4118,8463
2031,25-29,4855,4303,9158
2031,30-34,5994,5520,11514
2031,35-39,6878,6478,13356
2031,40-44,7325,6984,14309
2031,45-49,8672,8680,17352
2031,50-54,9281,9178,18459
2031,55-59,7269,7263,14532
2031,60-64,6303,6574,12877
2031,65-69,6239,7082,13321
2031,70-74,5533,6478,12011
2031,75-79,4121,4891,9012
2031,80-84,2130,2674,4804
2031,85-89,749,1051,1800
2031,90-94,343,658,1001
2031,95-99,87,222,309
2031,100+,0,0,0
2032,0-4,3936,3673,7609
2032,5-9,4298,3998,8296
2032,10-14,4316,3967,8283
2032,15-19,5061,4858,9919
2032,20-24,4705,4376,9081
2032,25-29,4656,4196,8852
2032,30-34,5669,5161,10830
2032,35-39,6806,6468,13274
2032,40-44,7284,6821,14105
2032,45-49,8131,8135,16266
2032,50-54,9435,9433,18868
2032,55-59,7691,7591,15282
2032,60-64,6241,6633,12874
2032,65-69,6097,6886,12983
2032,70-74,5672,6679,12351
2032,75-79,4274,5074,9348
2032,80-84,2410,3043,5453
2032,85-89,767,1113,1880
2032,90-94,361,654,1015
2032,95-99,95,227,322
2032,100+,0,0,0
2033,0-4,3864,3607,7471
2033,5-9,4232,3939,8171
2033,10-14,4298,3975,8273
2033,15-19,5009,4708,9717
2033,20-24,4761,4467,9228
2033,25-29,4520,4218,8738
2033,30-34,5518,4982,10500
2033,35-39,6551,6209,12760
2033,40-44,7166,6640,13806
2033,45-49,7762,7731,15493
2033,50-54,9397,9482,18879
2033,55-59,8106,7970,16076
2033,60-64,6282,6604,12886
2033,65-69,5973,6801,12774
2033,70-74,5801,6784,12585
2033,75-79,4410,5354,9764
2033,80-84,2610,3313,5923
2033,85-89,856,1236,2092
2033,90-94,381,658,1039
2033,95-99,101,239,340
2033,100+,0,0,0
2034,0-4,3798,3547,7345
2034,5-9,4167,3881,8048
2034,10-14,4403,4094,8497
2034,15-19,4767,4387,9154
2034,20-24,4901,4620,9521
2034,25-29,4448,4187,8635
2034,30-34,5315,4828,10143
2034,35-39,6296,5944,12240
2034,40-44,7084,6564,13648
2034,45-49,7425,7349,14774
2034,50-54,9183,9288,18471
2034,55-59,8517,8479,16996
2034,60-64,6315,6598,12913
2034,65-69,6001,6670,12671
2034,70-74,5757,6843,12600
2034,75-79,4618,5644,10262
2034,80-84,2758,3564,6322
2034,85-89,1002,1400,2402
2034,90-94,394,673,1067
2034,95-99,105,247,352
2034,100+,0,0,0
2035,0-4,3734,3487,7221
2035,5-9,4095,3817,7912
2035,10-14,4396,4088,8484
2035,15-19,4522,4177,8699
2035,20-24,5199,4900,10099
2035,25-29,4319,4123,8442
2035,30-34,4994,4468,9462
2035,35-39,6213,5809,12022
2035,40-44,6889,6473,13362
2035,45-49,7262,7052,14314
2035,50-54,8956,9128,18084
2035,55-59,8801,8851,17652
2035,60-64,6565,6692,13257
2035,65-69,5943,6525,12468
2035,70-74,5709,6842,12551
2035,75-79,4689,5813,10502
2035,80-84,3022,3973,6995
2035,85-89,1131,1613,2744
2035,90-94,397,651,1048
2035,95-99,117,259,376
2035,100+,0,0,0
2036,0-4,3673,3431,7104
2036,5-9,4017,3746,7763
2036,10-14,4362,4058,8420
2036,15-19,4403,4066,8469
2036,20-24,5253,4992,10245
2036,25-29,4345,4118,8463
2036,30-34,4833,4303,9136
2036,35-39,5958,5499,11457
2036,40-44,6801,6453,13254
2036,45-49,7191,6942,14133
2036,50-54,8449,8603,17052
2036,55-59,8969,9063,18032
2036,60-64,6952,7138,14090
2036,65-69,5921,6396,12317
2036,70-74,5646,6749,12395
2036,75-79,4704,5944,10648
2036,80-84,3181,4190,7371
2036,85-89,1424,2035,3459
2036,90-94,389,633,1022
2036,95-99,126,269,395
2036,100+,0,0,0
2037,0-4,3626,3387,7013
2037,5-9,3936,3673,7609
2037,10-14,4298,3998,8296
2037,15-19,4316,3967,8283
2037,20-24,5061,4858,9919
2037,25-29,4703,4376,9079
2037,30-34,4638,4196,8834
2037,35-39,5635,5144,10779
2037,40-44,6732,6443,13175
2037,45-49,7153,6781,13934
2037,50-54,7923,8064,15987
2037,55-59,9122,9318,18440
2037,60-64,7363,7464,14827
2037,65-69,5870,6459,12329
2037,70-74,5529,6571,12100
2037,75-79,4839,6142,10981
2037,80-84,3309,4360,7669
2037,85-89,1614,2323,3937
2037,90-94,403,681,1084
2037,95-99,134,270,404
2037,100+,0,0,0
2038,0-4,3586,3350,6936
2038,5-9,3864,3607,7471
2038,10-14,4232,3939,8171
2038,15-19,4298,3975,8273
2038,20-24,5009,4708,9717
2038,25-29,4760,4467,9227
2038,30-34,4504,4218,8722
2038,35-39,5486,4969,10455
2038,40-44,6482,6184,12666
2038,45-49,7038,6602,13640
2038,50-54,7567,7666,15233
2038,55-59,9091,9368,18459
2038,60-64,7769,7840,15609
2038,65-69,5918,6436,12354
2038,70-74,5432,6501,11933
2038,75-79,4961,6249,11210
2038,80-84,3425,4614,8039
2038,85-89,1753,2536,4289
2038,90-94,460,771,1231
2038,95-99,144,277,421
2038,100+,0,0,0
2039,0-4,3549,3316,6865
2039,5-9,3798,3547,7345
2039,10-14,4167,3881,8048
2039,15-19,4403,4094,8497
2039,20-24,4767,4387,9154
2039,25-29,4901,4620,9521
2039,30-34,4434,4187,8621
2039,35-39,5284,4818,10102
2039,40-44,6231,5919,12150
2039,45-49,6959,6528,13487
2039,50-54,7240,7287,14527
2039,55-59,8887,9179,18066
2039,60-64,8168,8343,16511
2039,65-69,5960,6436,12396
2039,70-74,5473,6387,11860
2039,75-79,4935,6315,11250
2039,80-84,3599,4877,8476
2039,85-89,1859,2737,4596
2039,90-94,547,890,1437
2039,95-99,151,291,442
2039,100+,0,0,0
2040,0-4,3522,3292,6814
2040,5-9,3734,3487,7221
2040,10-14,4095,3817,7912
2040,15-19,4396,4088,8484
2040,20-24,4522,4177,8699
2040,25-29,5198,4900,10098
2040,30-34,4306,4123,8429
2040,35-39,4965,4461,9426
2040,40-44,6147,5784,11931
2040,45-49,6768,6438,13206
2040,50-54,7082,6993,14075
2040,55-59,8666,9020,17686
2040,60-64,8438,8710,17148
2040,65-69,6195,6527,12722
2040,70-74,5417,6248,11665
2040,75-79,4891,6314,11205
2040,80-84,3651,5023,8674
2040,85-89,2033,3047,5080
2040,90-94,616,1021,1637
2040,95-99,151,279,430
2040,100+,0,0,0
2041,0-4,3503,3275,6778
2041,5-9,3673,3431,7104
2041,10-14,4017,3746,7763
2041,15-19,4362,4058,8420
2041,20-24,4403,4066,8469
2041,25-29,5251,4992,10243
2041,30-34,4332,4118,8450
2041,35-39,4805,4298,9103
2041,40-44,5895,5474,11369
2041,45-49,6681,6418,13099
2041,50-54,7013,6884,13897
2041,55-59,8175,8500,16675
2041,60-64,8600,8918,17518
2041,65-69,6562,6963,13525
2041,70-74,5397,6122,11519
2041,75-79,4835,6227,11062
2041,80-84,3666,5137,8803
2041,85-89,2149,3223,5372
2041,90-94,776,1291,2067
2041,95-99,146,270,416
2041,100+,0,0,0
2042,0-4,3486,3260,6746
2042,5-9,3626,3387,7013
2042,10-14,3936,3673,7609
2042,15-19,4298,3998,8296
2042,20-24,4316,3967,8283
2042,25-29,5061,4858,9919
2042,30-34,4687,4376,9063
2042,35-39,4611,4192,8803
2042,40-44,5576,5120,10696
2042,45-49,6614,6408,13022
