year,male,female,total
2019,31800,35269,67069
2020,31847,35364,67211
2021,31887,35452,67339
2022,31908,35524,67432
2023,31921,35584,67505
2024,31922,35638,67560
2025,31928,35699,67627
2026,31921,35745,67666
2027,31896,35778,67674
2028,31862,35797,67659
2029,31815,35798,67613
2030,31751,35784,67535
2031,31674,35754,67428
2032,31574,35704,67278
2033,31457,35636,67093
2034,31324,35548,66872
2035,31201,35471,66672
2036,31059,35374,66433
2037,30901,35261,66162
2038,30731,35129,65860
2039,30544,34972,65516
2040,30340,34793,65133
2041,30118,34596,64714
2042,29884,34380,64264
2043,29638,34141,63779
2044,29376,33887,63263
2045,29133,33652,62785
2046,28876,33395,62271
2047,28604,33119,61723
2048,28322,32825,61147
2049,28025,32503,60528
2050,27720,32165,59885
2051,27409,31806,59215
2052,27090,31431,58521
2053,26763,31036,57799
2054,26429,30630,57059
2055,26115,30244,56359
2056,25795,29847,55642
2057,25465,29432,54897
2058,25135,29004,54139
2059,24803,28567,53370
2060,24468,28117,52585
2061,24129,27658,51787
2062,23788,27195,50983
2063,23448,26730,50178
2064,23106,26259,49365
2065,22780,25815,48595
