year,male,female,total
2019,18604,18632,37236
2020,18621,18685,37306
2021,18633,18728,37361
2022,18636,18766,37402
2023,18626,18799,37425
2024,18608,18822,37430
2025,18592,18846,37438
2026,18563,18858,37421
2027,18526,18866,37392
2028,18481,18860,37341
2029,18428,18851,37279
2030,18369,18831,37200
2031,18296,18804,37100
2032,18216,18776,36992
2033,18128,18735,36863
2034,18030,18683,36713
2035,17942,18644,36586
2036,17850,18601,36451
2037,17749,18544,36293
2038,17638,18484,36122
2039,17518,18412,35930
2040,17394,18332,35726
2041,17268,18247,35515
2042,17138,18151,35289
2043,16999,18046,35045
2044,16859,17936,34795
2045,16732,17839,34571
2046,16598,17732,34330
2047,16454,17617,34071
2048,16304,17488,33792
2049,16151,17351,33502
2050,15990,17206,33196
2051,15822,17047,32869
2052,15650,16881,32531
2053,15470,16708,32178
2054,15286,16531,31817
2055,15113,16369,31482
2056,14933,16196,31129
2057,14750,16012,30762
2058,14564,15822,30386
2059,14373,15634,30007
2060,14181,15444,29625
2061,13986,15248,29234
2062,13788,15045,28833
2063,13590,14843,28433
2064,13389,14642,28031
2065,13193,14445,27638
