year,male,female,total
2019,10871,9630,20501
2020,10785,9575,20360
2021,10698,9516,20214
2022,10611,9456,20067
2023,10520,9399,19919
2024,10426,9339,19765
2025,10341,9285,19626
2026,10249,9225,19474
2027,10150,9164,19314
2028,10054,9103,19157
2029,9954,9040,18994
2030,9848,8970,18818
2031,9739,8896,18635
2032,9629,8822,18451
2033,9514,8748,18262
2034,9394,8669,18063
2035,9284,8599,17883
2036,9168,8527,17695
2037,9050,8446,17496
2038,8925,8363,17288
2039,8792,8279,17071
2040,8661,8191,16852
2041,8521,8098,16619
2042,8379,8005,16384
2043,8234,7905,16139
2044,8088,7804,15892
2045,7954,7711,15665
2046,7819,7620,15439
2047,7679,7521,15200
2048,7537,7423,14960
2049,7395,7320,14715
2050,7256,7218,14474
2051,7118,7115,14233
2052,6981,7017,13998
2053,6848,6918,13766
2054,6715,6818,13533
2055,6587,6728,13315
2056,6465,6634,13099
2057,6343,6538,12881
2058,6226,6441,12667
2059,6110,6347,12457
2060,6000,6254,12254
2061,5891,6159,12050
2062,5784,6062,11846
2063,5679,5967,11646
2064,5574,5876,11450
2065,5481,5791,11272
