year,male,female,total
2019,115831,119853,235684
2020,116022,120275,236297
2021,116171,120654,236825
2022,116270,120976,237246
2023,116315,121251,237566
2024,116314,121474,237788
2025,116322,121703,238025
2026,116282,121882,238164
2027,116191,122007,238198
2028,116040,122068,238108
2029,115835,122072,237907
2030,115564,122004,237568
2031,115232,121875,237107
2032,114842,121679,236521
2033,114383,121421,235804
2034,113860,121094,234954
2035,113388,120815,234203
2036,112854,120467,233321
2037,112265,120059,232324
2038,111619,119588,231207
2039,110918,119050,229968
2040,110162,118448,228610
2041,109352,117781,227133
2042,108514,117062,225576
2043,107627,116281,223908
2044,106698,115431,222129
2045,105840,114663,220503
2046,104935,113828,218763
2047,103985,112917,216902
2048,102993,111932,214925
2049,101955,110880,212835
2050,100888,109778,210666
2051,99779,108613,208392
2052,98640,107397,206037
2053,97467,106136,203603
2054,96270,104828,201098
2055,95135,103593,198728
2056,93966,102321,196287
2057,92771,101015,193786
2058,91553,99672,191225
2059,90313,98284,188597
2060,89057,96872,185929
2061,87778,95434,183212
2062,86480,93971,180451
2063,85175,92492,177667
2064,83853,91016,174869
2065,82581,89616,172197
