year,male,female,total
2019,12412,12141,24553
2020,12386,12123,24509
2021,12360,12113,24473
2022,12327,12101,24428
2023,12290,12080,24370
2024,12246,12056,24302
2025,12209,12040,24249
2026,12163,12021,24184
2027,12116,11995,24111
2028,12060,11964,24024
2029,12000,11928,23928
2030,11930,11889,23819
2031,11858,11845,23703
2032,11779,11799,23578
2033,11689,11746,23435
2034,11592,11683,23275
2035,11504,11630,23134
2036,11409,11568,22977
2037,11309,11499,22808
2038,11199,11426,22625
2039,11080,11348,22428
2040,10957,11265,22222
2041,10828,11177,22005
2042,10695,11083,21778
2043,10561,10987,21548
2044,10425,10887,21312
2045,10299,10798,21097
2046,10173,10705,20878
2047,10044,10604,20648
2048,9910,10500,20410
2049,9775,10388,20163
2050,9642,10276,19918
2051,9505,10156,19661
2052,9368,10035,19403
2053,9231,9908,19139
2054,9100,9781,18881
2055,8976,9662,18638
2056,8852,9539,18391
2057,8727,9417,18144
2058,8604,9291,17895
2059,8478,9165,17643
2060,8350,9037,17387
2061,8222,8906,17128
2062,8095,8774,16869
2063,7967,8639,16606
2064,7834,8506,16340
2065,7715,8378,16093
