year,male,female,total
2019,17615,16615,34230
2020,17554,16601,34155
2021,17490,16584,34074
2022,17417,16564,33981
2023,17335,16534,33869
2024,17246,16499,33745
2025,17167,16465,33632
2026,17080,16428,33508
2027,16986,16381,33367
2028,16883,16329,33212
2029,16771,16269,33040
2030,16645,16202,32847
2031,16514,16120,32634
2032,16374,16036,32410
2033,16230,15943,32173
2034,16077,15845,31922
2035,15934,15756,31690
2036,15782,15655,31437
2037,15621,15548,31169
2038,15452,15432,30884
2039,15280,15307,30587
2040,15100,15180,30280
2041,14914,15039,29953
2042,14719,14896,29615
2043,14520,14745,29265
2044,14319,14583,28902
2045,14130,14437,28567
2046,13939,14287,28226
2047,13744,14129,27873
2048,13550,13967,27517
2049,13352,13794,27146
2050,13154,13622,26776
2051,12957,13440,26397
2052,12758,13260,26018
2053,12559,13077,25636
2054,12363,12890,25253
2055,12182,12718,24900
2056,12000,12544,24544
2057,11817,12376,24193
2058,11634,12205,23839
2059,11449,12032,23481
2060,11268,11855,23123
2061,11083,11684,22767
2062,10894,11505,22399
2063,10703,11331,22034
2064,10512,11161,21673
2065,10329,10994,21323
