year,male,female,total
2019,13150,12116,25266
2020,13087,12074,25161
2021,13022,12036,25058
2022,12950,11996,24946
2023,12878,11950,24828
2024,12799,11900,24699
2025,12728,11858,24586
2026,12655,11812,24467
2027,12572,11760,24332
2028,12486,11706,24192
2029,12395,11649,24044
2030,12303,11587,23890
2031,12208,11522,23730
2032,12102,11451,23553
2033,11990,11380,23370
2034,11873,11303,23176
2035,11770,11241,23011
2036,11658,11172,22830
2037,11538,11095,22633
2038,11409,11012,22421
2039,11270,10922,22192
2040,11130,10832,21962
2041,10988,10733,21721
2042,10838,10633,21471
2043,10687,10520,21207
2044,10536,10408,20944
2045,10395,10310,20705
2046,10250,10207,20457
2047,10100,10102,20202
2048,9951,9992,19943
2049,9798,9876,19674
2050,9644,9756,19400
2051,9494,9635,19129
2052,9343,9512,18855
2053,9192,9389,18581
2054,9043,9268,18311
2055,8905,9155,18060
2056,8767,9034,17801
2057,8628,8916,17544
2058,8489,8792,17281
2059,8353,8668,17021
2060,8216,8547,16763
2061,8083,8430,16513
2062,7953,8310,16263
2063,7824,8185,16009
2064,7696,8063,15759
2065,7574,7950,15524
