year,male,female,total
2019,22357,21630,43987
2020,22265,21572,43837
2021,22167,21517,43684
2022,22064,21458,43522
2023,21953,21385,43338
2024,21833,21302,43135
2025,21721,21233,42954
2026,21602,21156,42758
2027,21471,21075,42546
2028,21340,20984,42324
2029,21196,20890,42086
2030,21043,20784,41827
2031,20882,20675,41557
2032,20718,20556,41274
2033,20542,20439,40981
2034,20357,20311,40668
2035,20190,20197,40387
2036,20013,20081,40094
2037,19832,19957,39789
2038,19642,19825,39467
2039,19441,19684,39125
2040,19238,19535,38773
2041,19019,19376,38395
2042,18797,19208,38005
2043,18567,19033,37600
2044,18335,18844,37179
2045,18118,18676,36794
2046,17892,18498,36390
2047,17664,18309,35973
2048,17433,18106,35539
2049,17195,17893,35088
2050,16958,17678,34636
2051,16719,17451,34170
2052,16473,17230,33703
2053,16233,17004,33237
2054,15989,16777,32766
2055,15762,16564,32326
2056,15536,16352,31888
2057,15311,16129,31440
2058,15087,15910,30997
2059,14859,15688,30547
2060,14637,15465,30102
2061,14408,15237,29645
2062,14184,15009,29193
2063,13962,14787,28749
2064,13741,14562,28303
2065,13532,14354,27886
