year,male,female,total
2019,4210,3940,8150
2020,4179,3922,8101
2021,4151,3906,8057
2022,4121,3891,8012
2023,4092,3874,7966
2024,4065,3859,7924
2025,4043,3846,7889
2026,4020,3832,7852
2027,3996,3816,7812
2028,3968,3798,7766
2029,3941,3776,7717
2030,3915,3754,7669
2031,3885,3730,7615
2032,3851,3710,7561
2033,3814,3689,7503
2034,3779,3661,7440
2035,3745,3642,7387
2036,3709,3617,7326
2037,3674,3590,7264
2038,3635,3562,7197
2039,3595,3533,7128
2040,3553,3499,7052
2041,3507,3462,6969
2042,3459,3424,6883
2043,3413,3380,6793
2044,3367,3344,6711
2045,3325,3309,6634
2046,3279,3275,6554
2047,3235,3235,6470
2048,3188,3193,6381
2049,3142,3153,6295
2050,3098,3114,6212
2051,3052,3073,6125
2052,3009,3034,6043
2053,2965,2997,5962
2054,2921,2956,5877
2055,2881,2916,5797
2056,2836,2875,5711
2057,2790,2836,5626
2058,2743,2796,5539
2059,2694,2759,5453
2060,2644,2720,5364
2061,2596,2680,5276
2062,2552,2638,5190
2063,2507,2595,5102
2064,2464,2552,5016
2065,2423,2514,4937
