year,male,female,total
2019,2608,2535,5143
2020,2628,2553,5181
2021,2650,2575,5225
2022,2670,2593,5263
2023,2688,2615,5303
2024,2703,2637,5340
2025,2719,2656,5375
2026,2729,2673,5402
2027,2740,2690,5430
2028,2749,2704,5453
2029,2754,2718,5472
2030,2758,2730,5488
2031,2758,2740,5498
2032,2756,2747,5503
2033,2752,2749,5501
2034,2747,2752,5499
2035,2744,2761,5505
2036,2737,2761,5498
2037,2726,2758,5484
2038,2717,2752,5469
2039,2704,2748,5452
2040,2689,2742,5431
2041,2673,2734,5407
2042,2656,2726,5382
2043,2637,2718,5355
2044,2620,2710,5330
2045,2606,2706,5312
2046,2590,2698,5288
2047,2576,2690,5266
2048,2558,2678,5236
2049,2538,2666,5204
2050,2519,2651,5170
2051,2496,2634,5130
2052,2469,2613,5082
2053,2444,2590,5034
2054,2419,2566,4985
2055,2396,2545,4941
2056,2371,2521,4892
2057,2346,2497,4843
2058,2318,2472,4790
2059,2291,2449,4740
2060,2264,2423,4687
2061,2236,2397,4633
2062,2207,2368,4575
2063,2176,2335,4511
2064,2144,2300,4444
2065,2112,2269,4381
