year,male,female,total
2019,6679,5894,12573
2020,6636,5866,12502
2021,6595,5841,12436
2022,6551,5817,12368
2023,6506,5790,12296
2024,6458,5762,12220
2025,6417,5736,12153
2026,6370,5707,12077
2027,6317,5675,11992
2028,6267,5639,11906
2029,6211,5599,11810
2030,6152,5561,11713
2031,6091,5522,11613
2032,6026,5482,11508
2033,5959,5438,11397
2034,5889,5388,11277
2035,5819,5346,11165
2036,5749,5299,11048
2037,5676,5248,10924
2038,5601,5196,10797
2039,5523,5145,10668
2040,5442,5091,10533
2041,5359,5031,10390
2042,5274,4970,10244
2043,5186,4912,10098
2044,5098,4852,9950
2045,5016,4797,9813
2046,4933,4740,9673
2047,4844,4675,9519
2048,4757,4610,9367
2049,4672,4545,9217
2050,4588,4479,9067
2051,4503,4409,8912
2052,4418,4340,8758
2053,4332,4269,8601
2054,4246,4199,8445
2055,4169,4136,8305
2056,4093,4075,8168
2057,4017,4016,8033
2058,3945,3960,7905
2059,3875,3902,7777
2060,3810,3842,7652
2061,3745,3783,7528
2062,3680,3723,7403
2063,3617,3667,7284
2064,3552,3613,7165
2065,3493,3563,7056
