year,male,female,total
2019,3307,2734,6041
2020,3325,2751,6076
2021,3341,2769,6110
2022,3351,2784,6135
2023,3356,2800,6156
2024,3358,2814,6172
2025,3363,2826,6189
2026,3362,2839,6201
2027,3357,2847,6204
2028,3353,2852,6205
2029,3345,2855,6200
2030,3335,2854,6189
2031,3325,2852,6177
2032,3315,2849,6164
2033,3302,2847,6149
2034,3290,2844,6134
2035,3282,2846,6128
2036,3270,2840,6110
2037,3257,2835,6092
2038,3245,2828,6073
2039,3234,2821,6055
2040,3219,2813,6032
2041,3202,2805,6007
2042,3183,2797,5980
2043,3162,2790,5952
2044,3139,2782,5921
2045,3123,2776,5899
2046,3101,2767,5868
2047,3076,2758,5834
2048,3049,2744,5793
2049,3022,2729,5751
2050,2993,2711,5704
2051,2959,2693,5652
2052,2926,2674,5600
2053,2892,2654,5546
2054,2857,2633,5490
2055,2825,2612,5437
2056,2791,2587,5378
2057,2755,2561,5316
2058,2717,2536,5253
2059,2675,2509,5184
2060,2634,2484,5118
2061,2592,2454,5046
2062,2551,2423,4974
2063,2511,2393,4904
2064,2472,2363,4835
2065,2434,2333,4767
