year,male,female,total
2019,41885,41676,83561
2020,41835,41730,83565
2021,41778,41777,83555
2022,41718,41819,83537
2023,41644,41845,83489
2024,41564,41863,83427
2025,41496,41895,83391
2026,41407,41911,83318
2027,41307,41904,83211
2028,41187,41884,83071
2029,41051,41835,82886
2030,40888,41757,82645
2031,40696,41651,82347
2032,40474,41516,81990
2033,40229,41355,81584
2034,39953,41163,81116
2035,39698,40991,80689
2036,39408,40787,80195
2037,39096,40553,79649
2038,38755,40292,79047
2039,38394,40005,78399
2040,38009,39690,77699
2041,37609,39350,76959
2042,37193,38987,76180
2043,36763,38600,75363
2044,36325,38199,74524
2045,35911,37828,73739
2046,35489,37435,72924
2047,35053,37029,72082
2048,34608,36607,71215
2049,34158,36161,70319
2050,33708,35705,69413
2051,33247,35232,68479
2052,32785,34758,67543
2053,32321,34279,66600
2054,31857,33799,65656
2055,31426,33352,64778
2056,30995,32902,63897
2057,30560,32444,63004
2058,30123,31988,62111
2059,29683,31528,61211
2060,29240,31062,60302
2061,28797,30589,59386
2062,28347,30120,58467
2063,27898,29649,57547
2064,27446,29178,56624
2065,27017,28737,55754
