year,male,female,total
2019,5548,4646,10194
2020,5508,4624,10132
2021,5467,4600,10067
2022,5421,4571,9992
2023,5374,4543,9917
2024,5326,4520,9846
2025,5285,4502,9787
2026,5242,4480,9722
2027,5199,4458,9657
2028,5150,4432,9582
2029,5102,4405,9507
2030,5052,4375,9427
2031,5002,4344,9346
2032,4950,4313,9263
2033,4896,4280,9176
2034,4844,4247,9091
2035,4794,4219,9013
2036,4742,4187,8929
2037,4685,4157,8842
2038,4627,4124,8751
2039,4568,4089,8657
2040,4507,4053,8560
2041,4445,4017,8462
2042,4382,3975,8357
2043,4316,3932,8248
2044,4248,3886,8134
2045,4185,3847,8032
2046,4120,3803,7923
2047,4052,3759,7811
2048,3981,3716,7697
2049,3911,3671,7582
2050,3844,3627,7471
2051,3776,3583,7359
2052,3706,3535,7241
2053,3635,3488,7123
2054,3564,3441,7005
2055,3501,3397,6898
2056,3435,3355,6790
2057,3370,3314,6684
2058,3310,3272,6582
2059,3251,3235,6486
2060,3192,3193,6385
2061,3134,3152,6286
2062,3081,3110,6191
2063,3025,3069,6094
2064,2968,3025,5993
2065,2916,2985,5901
