year,male,female,total
2019,10300,9829,20129
2020,10287,9845,20132
2021,10275,9861,20136
2022,10259,9877,20136
2023,10239,9891,20130
2024,10218,9900,20118
2025,10201,9911,20112
2026,10180,9916,20096
2027,10161,9915,20076
2028,10141,9911,20052
2029,10115,9902,20017
2030,10082,9886,19968
2031,10044,9865,19909
2032,10002,9844,19846
2033,9954,9811,19765
2034,9900,9774,19674
2035,9850,9739,19589
2036,9793,9700,19493
2037,9731,9658,19389
2038,9661,9609,19270
2039,9586,9552,19138
2040,9505,9491,18996
2041,9421,9425,18846
2042,9337,9355,18692
2043,9244,9285,18529
2044,9152,9210,18362
2045,9067,9141,18208
2046,8980,9064,18044
2047,8887,8984,17871
2048,8792,8900,17692
2049,8695,8814,17509
2050,8595,8724,17319
2051,8492,8630,17122
2052,8387,8533,16920
2053,8280,8435,16715
2054,8170,8333,16503
2055,8063,8238,16301
2056,7954,8140,16094
2057,7847,8042,15889
2058,7739,7939,15678
2059,7629,7837,15466
2060,7521,7735,15256
2061,7410,7629,15039
2062,7299,7526,14825
2063,7182,7420,14602
2064,7066,7315,14381
2065,6959,7218,14177
