year,male,female,total
2019,6161,5318,11479
2020,6124,5297,11421
2021,6085,5277,11362
2022,6045,5256,11301
2023,6007,5235,11242
2024,5965,5212,11177
2025,5929,5195,11124
2026,5884,5169,11053
2027,5837,5142,10979
2028,5790,5114,10904
2029,5739,5083,10822
2030,5685,5053,10738
2031,5631,5019,10650
2032,5576,4983,10559
2033,5516,4946,10462
2034,5451,4907,10358
2035,5393,4873,10266
2036,5329,4835,10164
2037,5263,4797,10060
2038,5200,4752,9952
2039,5135,4709,9844
2040,5067,4664,9731
2041,4997,4614,9611
2042,4925,4565,9490
2043,4849,4512,9361
2044,4774,4457,9231
2045,4705,4406,9111
2046,4633,4357,8990
2047,4556,4307,8863
2048,4479,4255,8734
2049,4404,4201,8605
2050,4329,4143,8472
2051,4252,4084,8336
2052,4175,4026,8201
2053,4102,3967,8069
2054,4032,3907,7939
2055,3969,3855,7824
2056,3906,3804,7710
2057,3842,3751,7593
2058,3778,3699,7477
2059,3715,3647,7362
2060,3654,3596,7250
2061,3593,3546,7139
2062,3533,3495,7028
2063,3473,3445,6918
2064,3415,3393,6808
2065,3358,3345,6703
