year,male,female,total
2019,49681,53662,103343
2020,49579,53684,103263
2021,49477,53698,103175
2022,49359,53696,103055
2023,49234,53672,102906
2024,49098,53633,102731
2025,48978,53606,102584
2026,48849,53559,102408
2027,48708,53505,102213
2028,48557,53426,101983
2029,48390,53325,101715
2030,48198,53201,101399
2031,47996,53053,101049
2032,47779,52887,100666
2033,47547,52699,100246
2034,47296,52491,99787
2035,47076,52317,99393
2036,46833,52120,98953
2037,46569,51895,98464
2038,46286,51648,97934
2039,45988,51373,97361
2040,45679,51079,96758
2041,45347,50765,96112
2042,44996,50414,95410
2043,44627,50046,94673
2044,44249,49648,93897
2045,43894,49285,93179
2046,43524,48893,92417
2047,43130,48473,91603
2048,42721,48021,90742
2049,42303,47542,89845
2050,41865,47038,88903
2051,41418,46513,87931
2052,40964,45973,86937
2053,40498,45421,85919
2054,40027,44855,84882
2055,39591,44325,83916
2056,39146,43781,82927
2057,38695,43223,81918
2058,38241,42655,80896
2059,37780,42079,79859
2060,37320,41500,78820
2061,36860,40914,77774
2062,36401,40323,76724
2063,35934,39724,75658
2064,35466,39131,74597
2065,35021,38571,73592
