year,male,female,total
2019,17122,15676,32798
2020,17058,15658,32716
2021,16990,15646,32636
2022,16922,15631,32553
2023,16848,15613,32461
2024,16774,15587,32361
2025,16704,15569,32273
2026,16634,15549,32183
2027,16564,15528,32092
2028,16484,15497,31981
2029,16399,15463,31862
2030,16309,15425,31734
2031,16209,15380,31589
2032,16100,15326,31426
2033,15982,15263,31245
2034,15857,15190,31047
2035,15743,15129,30872
2036,15617,15059,30676
2037,15483,14983,30466
2038,15340,14899,30239
2039,15195,14807,30002
2040,15047,14706,29753
2041,14892,14601,29493
2042,14734,14493,29227
2043,14572,14383,28955
2044,14397,14265,28662
2045,14235,14158,28393
2046,14067,14039,28106
2047,13898,13915,27813
2048,13723,13780,27503
2049,13541,13638,27179
2050,13361,13489,26850
2051,13185,13337,26522
2052,13004,13179,26183
2053,12823,13024,25847
2054,12643,12862,25505
2055,12475,12712,25187
2056,12304,12565,24869
2057,12136,12415,24551
2058,11967,12264,24231
2059,11801,12111,23912
2060,11636,11954,23590
2061,11467,11799,23266
2062,11299,11643,22942
2063,11135,11490,22625
2064,10971,11338,22309
2065,10810,11195,22005
