year,male,female,total
2019,7547,6670,14217
2020,7495,6638,14133
2021,7446,6612,14058
2022,7396,6587,13983
2023,7349,6559,13908
2024,7300,6535,13835
2025,7255,6513,13768
2026,7210,6486,13696
2027,7162,6455,13617
2028,7111,6424,13535
2029,7058,6391,13449
2030,7002,6357,13359
2031,6946,6324,13270
2032,6882,6286,13168
2033,6814,6250,13064
2034,6747,6209,12956
2035,6681,6173,12854
2036,6614,6133,12747
2037,6545,6094,12639
2038,6471,6048,12519
2039,6386,6000,12386
2040,6303,5951,12254
2041,6216,5904,12120
2042,6125,5854,11979
2043,6033,5798,11831
2044,5940,5741,11681
2045,5851,5689,11540
2046,5764,5637,11401
2047,5676,5579,11255
2048,5585,5519,11104
2049,5498,5456,10954
2050,5409,5394,10803
2051,5320,5332,10652
2052,5230,5265,10495
2053,5142,5198,10340
2054,5054,5136,10190
2055,4979,5078,10057
2056,4903,5017,9920
2057,4827,4958,9785
2058,4754,4894,9648
2059,4677,4827,9504
2060,4601,4761,9362
2061,4525,4697,9222
2062,4451,4631,9082
2063,4378,4563,8941
2064,4305,4494,8799
2065,4238,4431,8669
