year,male,female,total
2019,18949,16785,35734
2020,18868,16747,35615
2021,18780,16712,35492
2022,18688,16673,35361
2023,18600,16634,35234
2024,18504,16592,35096
2025,18420,16562,34982
2026,18333,16524,34857
2027,18242,16484,34726
2028,18145,16438,34583
2029,18044,16385,34429
2030,17937,16329,34266
2031,17827,16263,34090
2032,17703,16195,33898
2033,17576,16121,33697
2034,17440,16039,33479
2035,17318,15971,33289
2036,17185,15894,33079
2037,17042,15812,32854
2038,16893,15721,32614
2039,16739,15625,32364
2040,16575,15521,32096
2041,16401,15413,31814
2042,16222,15301,31523
2043,16041,15183,31224
2044,15852,15060,30912
2045,15672,14948,30620
2046,15481,14831,30312
2047,15285,14703,29988
2048,15083,14567,29650
2049,14878,14426,29304
2050,14667,14278,28945
2051,14456,14125,28581
2052,14245,13974,28219
2053,14027,13818,27845
2054,13814,13664,27478
2055,13612,13521,27133
2056,13413,13373,26786
2057,13209,13223,26432
2058,13005,13068,26073
2059,12805,12915,25720
2060,12603,12759,25362
2061,12401,12594,24995
2062,12204,12434,24638
2063,12005,12269,24274
2064,11811,12108,23919
2065,11623,11953,23576
