year,male,female,total
2019,3148,2742,5890
2020,3144,2749,5893
2021,3137,2758,5895
2022,3129,2764,5893
2023,3119,2769,5888
2024,3109,2772,5881
2025,3100,2776,5876
2026,3089,2776,5865
2027,3075,2776,5851
2028,3063,2777,5840
2029,3049,2772,5821
2030,3038,2763,5801
2031,3023,2753,5776
2032,3008,2740,5748
2033,2990,2728,5718
2034,2971,2716,5687
2035,2958,2708,5666
2036,2937,2697,5634
2037,2915,2685,5600
2038,2893,2673,5566
2039,2869,2660,5529
2040,2845,2648,5493
2041,2819,2635,5454
2042,2791,2623,5414
2043,2761,2608,5369
2044,2731,2588,5319
2045,2703,2571,5274
2046,2672,2551,5223
2047,2640,2526,5166
2048,2606,2499,5105
2049,2569,2472,5041
2050,2531,2447,4978
2051,2494,2422,4916
2052,2455,2398,4853
2053,2417,2369,4786
2054,2381,2338,4719
2055,2346,2308,4654
2056,2312,2276,4588
2057,2277,2245,4522
2058,2239,2215,4454
2059,2202,2182,4384
2060,2165,2152,4317
2061,2132,2118,4250
2062,2096,2088,4184
2063,2060,2055,4115
2064,2024,2023,4047
2065,1991,1994,3985
