year,male,female,total
2019,6619,5888,12507
2020,6597,5876,12473
2021,6574,5863,12437
2022,6551,5853,12404
2023,6524,5838,12362
2024,6493,5824,12317
2025,6465,5817,12282
2026,6434,5810,12244
2027,6401,5800,12201
2028,6363,5786,12149
2029,6320,5772,12092
2030,6277,5752,12029
2031,6227,5730,11957
2032,6173,5705,11878
2033,6121,5676,11797
2034,6066,5645,11711
2035,6014,5617,11631
2036,5960,5587,11547
2037,5901,5555,11456
2038,5837,5523,11360
2039,5772,5489,11261
2040,5703,5451,11154
2041,5633,5413,11046
2042,5567,5373,10940
2043,5496,5330,10826
2044,5419,5283,10702
2045,5350,5241,10591
2046,5274,5191,10465
2047,5200,5139,10339
2048,5129,5086,10215
2049,5055,5032,10087
2050,4983,4976,9959
2051,4908,4917,9825
2052,4832,4858,9690
2053,4759,4800,9559
2054,4687,4743,9430
2055,4621,4694,9315
2056,4554,4638,9192
2057,4487,4579,9066
2058,4421,4522,8943
2059,4352,4464,8816
2060,4283,4404,8687
2061,4216,4345,8561
2062,4149,4282,8431
2063,4085,4219,8304
2064,4022,4158,8180
2065,3961,4103,8064
