year,male,female,total
2019,9358,8258,17616
2020,9306,8236,17542
2021,9257,8218,17475
2022,9208,8197,17405
2023,9158,8172,17330
2024,9104,8145,17249
2025,9054,8121,17175
2026,9004,8094,17098
2027,8948,8066,17014
2028,8889,8038,16927
2029,8825,8005,16830
2030,8757,7971,16728
2031,8684,7934,16618
2032,8608,7893,16501
2033,8527,7850,16377
2034,8445,7802,16247
2035,8368,7760,16128
2036,8287,7721,16008
2037,8199,7679,15878
2038,8111,7630,15741
2039,8019,7581,15600
2040,7920,7526,15446
2041,7821,7468,15289
2042,7720,7409,15129
2043,7620,7343,14963
2044,7515,7278,14793
2045,7418,7218,14636
2046,7321,7154,14475
2047,7221,7091,14312
2048,7123,7018,14141
2049,7024,6945,13969
2050,6924,6876,13800
2051,6818,6796,13614
2052,6709,6718,13427
2053,6607,6637,13244
2054,6505,6556,13061
2055,6409,6482,12891
2056,6311,6406,12717
2057,6213,6327,12540
2058,6119,6247,12366
2059,6026,6162,12188
2060,5934,6079,12013
2061,5843,5997,11840
2062,5752,5914,11666
2063,5662,5831,11493
2064,5574,5750,11324
2065,5490,5675,11165
