year,male,female,total
2019,52255,51351,103606
2020,52251,51446,103697
2021,52226,51536,103762
2022,52181,51606,103787
2023,52120,51654,103774
2024,52044,51691,103735
2025,51978,51736,103714
2026,51890,51765,103655
2027,51792,51782,103574
2028,51676,51784,103460
2029,51541,51769,103310
2030,51387,51730,103117
2031,51217,51673,102890
2032,51024,51594,102618
2033,50811,51500,102311
2034,50585,51386,101971
2035,50385,51303,101688
2036,50165,51199,101364
2037,49930,51067,100997
2038,49675,50920,100595
2039,49403,50756,100159
2040,49112,50566,99678
2041,48799,50352,99151
2042,48465,50118,98583
2043,48118,49858,97976
2044,47741,49573,97314
2045,47396,49322,96718
2046,47031,49041,96072
2047,46641,48729,95370
2048,46226,48385,94611
2049,45790,48015,93805
2050,45339,47621,92960
2051,44864,47198,92062
2052,44375,46758,91133
2053,43869,46302,90171
2054,43354,45821,89175
2055,42862,45375,88237
2056,42359,44904,87263
2057,41843,44426,86269
2058,41320,43930,85250
2059,40785,43414,84199
2060,40243,42890,83133
2061,39697,42353,82050
2062,39144,41806,80950
2063,38592,41248,79840
2064,38035,40684,78719
2065,37503,40157,77660
