year,male,female,total
2019,5562,4937,10499
2020,5534,4924,10458
2021,5509,4913,10422
2022,5483,4901,10384
2023,5450,4890,10340
2024,5417,4879,10296
2025,5388,4870,10258
2026,5354,4855,10209
2027,5322,4842,10164
2028,5287,4825,10112
2029,5248,4804,10052
2030,5207,4782,9989
2031,5165,4758,9923
2032,5119,4732,9851
2033,5069,4707,9776
2034,5017,4679,9696
2035,4971,4653,9624
2036,4921,4624,9545
2037,4868,4593,9461
2038,4817,4559,9376
2039,4762,4524,9286
2040,4704,4489,9193
2041,4645,4450,9095
2042,4582,4411,8993
2043,4516,4365,8881
2044,4449,4317,8766
2045,4388,4275,8663
2046,4324,4230,8554
2047,4259,4183,8442
2048,4195,4134,8329
2049,4135,4087,8222
2050,4073,4039,8112
2051,4008,3986,7994
2052,3941,3934,7875
2053,3876,3881,7757
2054,3811,3829,7640
2055,3755,3783,7538
2056,3697,3735,7432
2057,3638,3685,7323
2058,3582,3637,7219
2059,3528,3587,7115
2060,3476,3539,7015
2061,3421,3492,6913
2062,3366,3443,6809
2063,3308,3391,6699
2064,3250,3336,6586
2065,3195,3281,6476
