year,male,female,total
2019,947,604,1551
2020,950,607,1557
2021,954,609,1563
2022,954,612,1566
2023,956,614,1570
2024,957,616,1573
2025,959,618,1577
2026,962,621,1583
2027,962,623,1585
2028,962,624,1586
2029,958,622,1580
2030,955,620,1575
2031,947,618,1565
2032,940,617,1557
2033,927,614,1541
2034,914,610,1524
2035,904,610,1514
2036,890,609,1499
2037,875,605,1480
2038,859,597,1456
2039,843,590,1433
2040,827,581,1408
2041,810,574,1384
2042,797,565,1362
2043,781,558,1339
2044,763,547,1310
2045,752,543,1295
2046,735,534,1269
2047,720,526,1246
2048,705,516,1221
2049,691,506,1197
2050,675,496,1171
2051,659,485,1144
2052,644,475,1119
2053,627,463,1090
2054,614,452,1066
2055,602,445,1047
2056,588,435,1023
2057,573,426,999
2058,559,416,975
2059,545,405,950
2060,529,393,922
2061,513,382,895
2062,499,371,870
2063,483,361,844
2064,468,352,820
2065,458,343,801
