year,male,female,total
2019,6311,6445,12756
2020,6303,6438,12741
2021,6294,6436,12730
2022,6286,6432,12718
2023,6276,6426,12702
2024,6261,6422,12683
2025,6250,6420,12670
2026,6233,6421,12654
2027,6215,6423,12638
2028,6189,6416,12605
2029,6159,6408,12567
2030,6126,6390,12516
2031,6086,6368,12454
2032,6037,6341,12378
2033,5989,6314,12303
2034,5933,6282,12215
2035,5882,6253,12135
2036,5823,6220,12043
2037,5761,6180,11941
2038,5698,6136,11834
2039,5628,6091,11719
2040,5551,6046,11597
2041,5475,5993,11468
2042,5395,5934,11329
2043,5313,5870,11183
2044,5226,5804,11030
2045,5145,5741,10886
2046,5056,5672,10728
2047,4969,5603,10572
2048,4882,5533,10415
2049,4796,5461,10257
2050,4712,5384,10096
2051,4629,5304,9933
2052,4545,5225,9770
2053,4466,5142,9608
2054,4386,5058,9444
2055,4311,4981,9292
2056,4235,4901,9136
2057,4165,4822,8987
2058,4095,4739,8834
2059,4026,4656,8682
2060,3956,4572,8528
2061,3889,4490,8379
2062,3819,4403,8222
2063,3751,4316,8067
2064,3682,4230,7912
2065,3615,4147,7762
