year,male,female,total
2019,346,332,678
2020,347,332,679
2021,347,332,679
2022,348,332,680
2023,349,333,682
2024,350,334,684
2025,351,335,686
2026,352,336,688
2027,354,337,691
2028,356,338,694
2029,357,339,696
2030,359,340,699
2031,361,342,703
2032,362,344,706
2033,362,345,707
2034,363,346,709
2035,365,346,711
2036,364,347,711
2037,363,347,710
2038,362,346,708
2039,361,346,707
2040,360,344,704
2041,360,343,703
2042,359,339,698
2043,358,337,695
2044,354,333,687
2045,352,332,684
2046,348,329,677
2047,344,326,670
2048,338,323,661
2049,332,319,651
2050,330,316,646
2051,323,312,635
2052,317,308,625
2053,310,303,613
2054,303,299,602
2055,298,296,594
2056,290,292,582
2057,283,284,567
2058,276,277,553
2059,269,267,536
2060,262,259,521
2061,255,250,505
2062,249,242,491
2063,243,234,477
2064,237,227,464
2065,233,222,455
