year,male,female,total
2019,12715,11336,24051
2020,12652,11283,23935
2021,12585,11230,23815
2022,12509,11173,23682
2023,12429,11115,23544
2024,12349,11054,23403
2025,12272,11000,23272
2026,12195,10944,23139
2027,12117,10887,23004
2028,12031,10822,22853
2029,11940,10758,22698
2030,11846,10690,22536
2031,11752,10623,22375
2032,11653,10551,22204
2033,11542,10474,22016
2034,11425,10390,21815
2035,11319,10321,21640
2036,11209,10250,21459
2037,11092,10174,21266
2038,10970,10096,21066
2039,10841,10008,20849
2040,10704,9914,20618
2041,10568,9821,20389
2042,10425,9725,20150
2043,10281,9621,19902
2044,10133,9519,19652
2045,9993,9429,19422
2046,9846,9333,19179
2047,9699,9234,18933
2048,9553,9134,18687
2049,9402,9028,18430
2050,9252,8922,18174
2051,9100,8816,17916
2052,8946,8708,17654
2053,8797,8600,17397
2054,8651,8493,17144
2055,8513,8397,16910
2056,8373,8297,16670
2057,8233,8197,16430
2058,8093,8094,16187
2059,7954,7990,15944
2060,7817,7886,15703
2061,7679,7782,15461
2062,7549,7678,15227
2063,7413,7572,14985
2064,7282,7468,14750
2065,7157,7367,14524
