year,male,female,total
2019,22472,21816,44288
2020,22412,21784,44196
2021,22345,21751,44096
2022,22275,21715,43990
2023,22196,21672,43868
2024,22113,21619,43732
2025,22036,21578,43614
2026,21945,21523,43468
2027,21848,21465,43313
2028,21745,21404,43149
2029,21635,21335,42970
2030,21519,21257,42776
2031,21393,21171,42564
2032,21256,21079,42335
2033,21109,20974,42083
2034,20950,20862,41812
2035,20809,20767,41576
2036,20656,20661,41317
2037,20486,20542,41028
2038,20310,20413,40723
2039,20119,20277,40396
2040,19917,20126,40043
2041,19707,19963,39670
2042,19492,19794,39286
2043,19269,19615,38884
2044,19038,19429,38467
2045,18823,19258,38081
2046,18605,19077,37682
2047,18380,18885,37265
2048,18150,18686,36836
2049,17917,18479,36396
2050,17681,18269,35950
2051,17443,18051,35494
2052,17200,17830,35030
2053,16962,17604,34566
2054,16721,17375,34096
2055,16496,17162,33658
2056,16272,16948,33220
2057,16050,16733,32783
2058,15825,16509,32334
2059,15603,16289,31892
2060,15382,16065,31447
2061,15159,15842,31001
2062,14937,15614,30551
2063,14711,15385,30096
2064,14492,15160,29652
2065,14277,14943,29220
