year,male,female,total
2019,13518,11292,24810
2020,13411,11194,24605
2021,13297,11100,24397
2022,13173,10999,24172
2023,13045,10893,23938
2024,12916,10788,23704
2025,12795,10700,23495
2026,12675,10610,23285
2027,12553,10518,23071
2028,12433,10423,22856
2029,12303,10328,22631
2030,12173,10231,22404
2031,12040,10131,22171
2032,11903,10029,21932
2033,11759,9932,21691
2034,11613,9832,21445
2035,11474,9748,21222
2036,11329,9661,20990
2037,11183,9567,20750
2038,11030,9471,20501
2039,10867,9373,20240
2040,10697,9268,19965
2041,10525,9159,19684
2042,10352,9054,19406
2043,10169,8946,19115
2044,9990,8836,18826
2045,9818,8735,18553
2046,9645,8637,18282
2047,9468,8536,18004
2048,9288,8437,17725
2049,9108,8333,17441
2050,8932,8229,17161
2051,8754,8122,16876
2052,8576,8016,16592
2053,8400,7910,16310
2054,8228,7801,16029
2055,8062,7701,15763
2056,7900,7600,15500
2057,7741,7504,15245
2058,7583,7403,14986
2059,7427,7297,14724
2060,7276,7193,14469
2061,7129,7086,14215
2062,6983,6978,13961
2063,6839,6870,13709
2064,6700,6763,13463
2065,6566,6665,13231
