year,male,female,total
2019,12529,10828,23357
2020,12470,10794,23264
2021,12408,10755,23163
2022,12343,10718,23061
2023,12274,10674,22948
2024,12199,10625,22824
2025,12126,10582,22708
2026,12048,10531,22579
2027,11965,10477,22442
2028,11874,10420,22294
2029,11779,10360,22139
2030,11679,10289,21968
2031,11575,10218,21793
2032,11462,10147,21609
2033,11342,10068,21410
2034,11219,9984,21203
2035,11104,9909,21013
2036,10986,9831,20817
2037,10856,9753,20609
2038,10721,9670,20391
2039,10581,9583,20164
2040,10434,9493,19927
2041,10283,9403,19686
2042,10133,9310,19443
2043,9976,9216,19192
2044,9816,9117,18933
2045,9663,9030,18693
2046,9507,8942,18449
2047,9351,8852,18203
2048,9190,8762,17952
2049,9029,8664,17693
2050,8867,8564,17431
2051,8703,8459,17162
2052,8539,8355,16894
2053,8377,8248,16625
2054,8212,8137,16349
2055,8054,8034,16088
2056,7900,7929,15829
2057,7745,7827,15572
2058,7595,7723,15318
2059,7448,7616,15064
2060,7300,7509,14809
2061,7154,7399,14553
2062,7006,7281,14287
2063,6860,7162,14022
2064,6722,7047,13769
2065,6585,6934,13519
