year,male,female,total
2019,38278,39302,77580
2020,38100,39235,77335
2021,37915,39158,77073
2022,37708,39059,76767
2023,37483,38941,76424
2024,37244,38801,76045
2025,37015,38669,75684
2026,36776,38517,75293
2027,36510,38345,74855
2028,36225,38150,74375
2029,35924,37930,73854
2030,35606,37690,73296
2031,35269,37422,72691
2032,34916,37130,72046
2033,34541,36820,71361
2034,34153,36486,70639
2035,33794,36184,69978
2036,33416,35861,69277
2037,33026,35514,68540
2038,32622,35146,67768
2039,32209,34760,66969
2040,31783,34353,66136
2041,31344,33933,65277
2042,30905,33497,64402
2043,30459,33044,63503
2044,30012,32584,62596
2045,29594,32160,61754
2046,29175,31729,60904
2047,28748,31275,60023
2048,28314,30814,59128
2049,27878,30342,58220
2050,27445,29868,57313
2051,27010,29382,56392
2052,26576,28904,55480
2053,26145,28429,54574
2054,25722,27958,53680
2055,25324,27516,52840
2056,24927,27082,52009
2057,24534,26651,51185
2058,24135,26219,50354
2059,23741,25785,49526
2060,23346,25352,48698
2061,22951,24913,47864
2062,22556,24475,47031
2063,22157,24038,46195
2064,21758,23599,45357
2065,21375,23192,44567
