year,male,female,total
2019,6861,5811,12672
2020,6819,5783,12602
2021,6775,5758,12533
2022,6725,5731,12456
2023,6672,5706,12378
2024,6616,5683,12299
2025,6562,5661,12223
2026,6506,5635,12141
2027,6452,5608,12060
2028,6398,5577,11975
2029,6342,5542,11884
2030,6282,5509,11791
2031,6219,5475,11694
2032,6158,5437,11595
2033,6091,5395,11486
2034,6022,5352,11374
2035,5958,5316,11274
2036,5895,5275,11170
2037,5824,5233,11057
2038,5748,5190,10938
2039,5668,5142,10810
2040,5589,5090,10679
2041,5509,5034,10543
2042,5425,4975,10400
2043,5338,4914,10252
2044,5249,4853,10102
2045,5168,4795,9963
2046,5084,4737,9821
2047,4995,4674,9669
2048,4900,4609,9509
2049,4805,4542,9347
2050,4711,4474,9185
2051,4618,4407,9025
2052,4525,4337,8862
2053,4433,4269,8702
2054,4338,4201,8539
2055,4253,4140,8393
2056,4166,4076,8242
2057,4083,4015,8098
2058,4000,3955,7955
2059,3921,3897,7818
2060,3846,3840,7686
2061,3773,3782,7555
2062,3700,3727,7427
2063,3632,3672,7304
2064,3564,3617,7181
2065,3501,3565,7066
