year,male,female,total
2019,92027,95625,187652
2020,91849,95677,187526
2021,91637,95700,187337
2022,91394,95678,187072
2023,91105,95619,186724
2024,90789,95514,186303
2025,90492,95425,185917
2026,90155,95286,185441
2027,89784,95105,184889
2028,89367,94872,184239
2029,88907,94590,183497
2030,88401,94257,182658
2031,87856,93867,181723
2032,87262,93421,180683
2033,86627,92923,179550
2034,85944,92360,178304
2035,85310,91861,177171
2036,84630,91311,175941
2037,83913,90703,174616
2038,83152,90039,173191
2039,82356,89327,171683
2040,81519,88560,170079
2041,80650,87750,168400
2042,79754,86896,166650
2043,78831,85999,164830
2044,77889,85063,162952
2045,77008,84212,161220
2046,76109,83325,159434
2047,75182,82390,157572
2048,74232,81412,155644
2049,73267,80396,153663
2050,72291,79363,151654
2051,71303,78294,149597
2052,70307,77216,147523
2053,69299,76134,145433
2054,68286,75044,143330
2055,67338,74027,141365
2056,66384,72989,139373
2057,65421,71945,137366
2058,64448,70893,135341
2059,63468,69831,133299
2060,62486,68749,131235
2061,61501,67655,129156
2062,60504,66553,127057
2063,59509,65447,124956
2064,58510,64333,122843
2065,57556,63280,120836
