year,male,female,total
2019,78122,79634,157756
2020,78196,79882,158078
2021,78236,80098,158334
2022,78241,80284,158525
2023,78212,80440,158652
2024,78142,80555,158697
2025,78077,80678,158755
2026,77983,80763,158746
2027,77850,80815,158665
2028,77679,80826,158505
2029,77466,80797,158263
2030,77203,80718,157921
2031,76900,80594,157494
2032,76549,80428,156977
2033,76160,80217,156377
2034,75728,79953,155681
2035,75328,79722,155050
2036,74885,79441,154326
2037,74405,79114,153519
2038,73881,78744,152625
2039,73321,78329,151650
2040,72730,77862,150592
2041,72098,77349,149447
2042,71444,76796,148240
2043,70773,76203,146976
2044,70069,75565,145634
2045,69415,74978,144393
2046,68738,74353,143091
2047,68039,73690,141729
2048,67317,72984,140301
2049,66580,72242,138822
2050,65824,71478,137302
2051,65053,70673,135726
2052,64270,69847,134117
2053,63476,68999,132475
2054,62676,68144,130820
2055,61922,67341,129263
2056,61154,66515,127669
2057,60373,65679,126052
2058,59574,64824,124398
2059,58769,63961,122730
2060,57952,63080,121032
2061,57122,62186,119308
2062,56276,61275,117551
2063,55423,60351,115774
2064,54564,59426,113990
2065,53734,58533,112267
