year,male,female,total
2019,18729,17571,36300
2020,18615,17511,36126
2021,18507,17457,35964
2022,18394,17393,35787
2023,18278,17327,35605
2024,18155,17251,35406
2025,18043,17181,35224
2026,17928,17107,35035
2027,17805,17029,34834
2028,17679,16941,34620
2029,17545,16845,34390
2030,17396,16743,34139
2031,17243,16627,33870
2032,17081,16510,33591
2033,16912,16384,33296
2034,16739,16248,32987
2035,16577,16132,32709
2036,16408,16008,32416
2037,16227,15875,32102
2038,16046,15738,31784
2039,15857,15593,31450
2040,15659,15440,31099
2041,15455,15280,30735
2042,15244,15117,30361
2043,15028,14950,29978
2044,14806,14772,29578
2045,14599,14613,29212
2046,14387,14449,28836
2047,14167,14272,28439
2048,13944,14088,28032
2049,13718,13906,27624
2050,13498,13719,27217
2051,13276,13528,26804
2052,13055,13340,26395
2053,12835,13147,25982
2054,12617,12956,25573
2055,12418,12782,25200
2056,12225,12602,24827
2057,12030,12425,24455
2058,11834,12248,24082
2059,11644,12072,23716
2060,11452,11898,23350
2061,11265,11723,22988
2062,11077,11549,22626
2063,10893,11372,22265
2064,10709,11198,21907
2065,10535,11033,21568
