year,male,female,total
2019,19291,18939,38230
2020,19260,18952,38212
2021,19226,18965,38191
2022,19183,18967,38150
2023,19133,18961,38094
2024,19073,18951,38024
2025,19014,18945,37959
2026,18947,18927,37874
2027,18870,18902,37772
2028,18784,18864,37648
2029,18688,18824,37512
2030,18584,18769,37353
2031,18472,18705,37177
2032,18345,18625,36970
2033,18210,18537,36747
2034,18060,18437,36497
2035,17924,18350,36274
2036,17772,18252,36024
2037,17619,18140,35759
2038,17455,18022,35477
2039,17279,17894,35173
2040,17094,17749,34843
2041,16905,17599,34504
2042,16708,17437,34145
2043,16507,17263,33770
2044,16298,17082,33380
2045,16103,16920,33023
2046,15910,16744,32654
2047,15714,16561,32275
2048,15515,16363,31878
2049,15308,16164,31472
2050,15105,15956,31061
2051,14896,15751,30647
2052,14688,15544,30232
2053,14480,15334,29814
2054,14271,15125,29396
2055,14074,14935,29009
2056,13883,14738,28621
2057,13685,14543,28228
2058,13486,14345,27831
2059,13281,14145,27426
2060,13083,13941,27024
2061,12880,13739,26619
2062,12672,13537,26209
2063,12463,13334,25797
2064,12251,13125,25376
2065,12048,12935,24983
