year,male,female,total
2019,15183,14541,29724
2020,15161,14552,29713
2021,15132,14560,29692
2022,15099,14564,29663
2023,15064,14565,29629
2024,15021,14555,29576
2025,14979,14551,29530
2026,14933,14539,29472
2027,14880,14518,29398
2028,14818,14493,29311
2029,14750,14468,29218
2030,14671,14430,29101
2031,14586,14384,28970
2032,14496,14329,28825
2033,14398,14267,28665
2034,14294,14202,28496
2035,14195,14137,28332
2036,14091,14066,28157
2037,13974,13990,27964
2038,13847,13910,27757
2039,13716,13820,27536
2040,13578,13721,27299
2041,13437,13614,27051
2042,13287,13502,26789
2043,13133,13384,26517
2044,12978,13264,26242
2045,12830,13151,25981
2046,12678,13036,25714
2047,12525,12913,25438
2048,12365,12780,25145
2049,12203,12645,24848
2050,12035,12503,24538
2051,11863,12352,24215
2052,11694,12204,23898
2053,11518,12048,23566
2054,11349,11887,23236
2055,11185,11741,22926
2056,11022,11594,22616
2057,10856,11442,22298
2058,10690,11289,21979
2059,10519,11131,21650
2060,10348,10975,21323
2061,10175,10808,20983
2062,10000,10643,20643
2063,9823,10475,20298
2064,9647,10307,19954
2065,9481,10146,19627
