year,male,female,total
2019,15676,14070,29746
2020,15597,14071,29668
2021,15527,14070,29597
2022,15454,14063,29517
2023,15376,14049,29425
2024,15300,14032,29332
2025,15230,14021,29251
2026,15160,14008,29168
2027,15085,13986,29071
2028,15005,13955,28960
2029,14917,13920,28837
2030,14819,13876,28695
2031,14719,13825,28544
2032,14611,13759,28370
2033,14491,13689,28180
2034,14366,13612,27978
2035,14248,13542,27790
2036,14120,13467,27587
2037,13983,13380,27363
2038,13836,13282,27118
2039,13686,13179,26865
2040,13529,13070,26599
2041,13365,12955,26320
2042,13192,12833,26025
2043,13019,12708,25727
2044,12842,12574,25416
2045,12676,12455,25131
2046,12511,12331,24842
2047,12339,12200,24539
2048,12162,12066,24228
2049,11988,11922,23910
2050,11809,11776,23585
2051,11628,11625,23253
2052,11447,11471,22918
2053,11268,11318,22586
2054,11090,11164,22254
2055,10924,11019,21943
2056,10759,10876,21635
2057,10591,10729,21320
2058,10422,10580,21002
2059,10256,10432,20688
2060,10086,10282,20368
2061,9916,10131,20047
2062,9743,9979,19722
2063,9572,9829,19401
2064,9404,9677,19081
2065,9240,9530,18770
