year,male,female,total
2019,22652,22283,44935
2020,22625,22321,44946
2021,22589,22355,44944
2022,22544,22379,44923
2023,22488,22389,44877
2024,22419,22393,44812
2025,22353,22396,44749
2026,22279,22390,44669
2027,22185,22368,44553
2028,22080,22338,44418
2029,21960,22292,44252
2030,21825,22222,44047
2031,21670,22139,43809
2032,21498,22042,43540
2033,21309,21925,43234
2034,21106,21793,42899
2035,20916,21672,42588
2036,20709,21533,42242
2037,20487,21374,41861
2038,20254,21198,41452
2039,20009,21005,41014
2040,19757,20803,40560
2041,19496,20587,40083
2042,19230,20361,39591
2043,18961,20121,39082
2044,18693,19876,38569
2045,18445,19651,38096
2046,18195,19417,37612
2047,17943,19177,37120
2048,17687,18925,36612
2049,17428,18664,36092
2050,17177,18398,35575
2051,16923,18124,35047
2052,16673,17852,34525
2053,16421,17578,33999
2054,16173,17300,33473
2055,15940,17048,32988
2056,15703,16790,32493
2057,15468,16527,31995
2058,15235,16268,31503
2059,14994,16010,31004
2060,14757,15747,30504
2061,14514,15483,29997
2062,14274,15224,29498
2063,14035,14970,29005
2064,13792,14711,28503
2065,13558,14467,28025
