year,male,female,total
2019,11881,12037,23918
2020,11813,12006,23819
2021,11741,11972,23713
2022,11666,11934,23600
2023,11587,11893,23480
2024,11506,11844,23350
2025,11428,11798,23226
2026,11340,11745,23085
2027,11248,11687,22935
2028,11155,11619,22774
2029,11054,11550,22604
2030,10945,11478,22423
2031,10828,11389,22217
2032,10707,11296,22003
2033,10578,11196,21774
2034,10443,11091,21534
2035,10321,10994,21315
2036,10192,10890,21082
2037,10052,10785,20837
2038,9912,10665,20577
2039,9766,10543,20309
2040,9613,10415,20028
2041,9459,10283,19742
2042,9303,10150,19453
2043,9142,10008,19150
2044,8984,9864,18848
2045,8838,9731,18569
2046,8690,9597,18287
2047,8543,9455,17998
2048,8395,9310,17705
2049,8245,9167,17412
2050,8100,9017,17117
2051,7955,8868,16823
2052,7813,8713,16526
2053,7675,8559,16234
2054,7536,8409,15945
2055,7408,8272,15680
2056,7281,8139,15420
2057,7160,8003,15163
2058,7041,7870,14911
2059,6924,7735,14659
2060,6804,7599,14403
2061,6686,7467,14153
2062,6568,7335,13903
2063,6453,7205,13658
2064,6341,7078,13419
2065,6235,6954,13189
