year,male,female,total
2019,229312,224975,454287
2020,228727,224883,453610
2021,228111,224770,452881
2022,227441,224596,452037
2023,226720,224356,451076
2024,225937,224058,449995
2025,225233,223843,449076
2026,224474,223561,448035
2027,223639,223207,446846
2028,222725,222766,445491
2029,221723,222232,443955
2030,220613,221598,442211
2031,219414,220865,440279
2032,218108,220043,438151
2033,216700,219108,435808
2034,215186,218077,433263
2035,213812,217194,431006
2036,212320,216195,428515
2037,210723,215079,425802
2038,209018,213860,422878
2039,207220,212541,419761
2040,205320,211104,416424
2041,203334,209573,412907
2042,201277,207954,409231
2043,199142,206236,405378
2044,196936,204434,401370
2045,194871,202785,397656
2046,192749,201049,393798
2047,190561,199193,389754
2048,188316,197233,385549
2049,186013,195173,381186
2050,183675,193047,376722
2051,181296,190822,372118
2052,178898,188541,367439
2053,176478,186220,362698
2054,174063,183867,357930
2055,171796,181680,353476
2056,169514,179447,348961
2057,167227,177193,344420
2058,164926,174891,339817
2059,162611,172547,335158
2060,160294,170182,330476
2061,157975,167815,325790
2062,155652,165413,321065
2063,153325,163012,316337
2064,151001,160604,311605
2065,148780,158342,307122
